卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
100001014889_#1.jpg _P1,153,97,1607,95,157,2246,1608,2244,
100001024884_#1.jpg _P1,153,101,1607,98,157,2249,1609,2247,
100001034879_#1.jpg _P1,155,100,1607,99,157,2249,1608,2248,
100001044874_#1.jpg _P1,156,98,1609,98,157,2247,1608,2247,
100001054869_#1.jpg _P1,155,100,1607,100,157,2250,1608,2248,
100001064864_#1.jpg _P1,152,100,1605,98,156,2249,1607,2247,
100001074859_#1.jpg _P1,155,98,1608,99,156,2248,1607,2247,
100001084854_#1.jpg _P1,153,101,1605,99,157,2250,1608,2247,
100001094849_#1.jpg _P1,155,101,1607,99,158,2250,1609,2247,
100001104887_#1.jpg _P1,153,101,1606,98,157,2250,1608,2247,
100001114882_#1.jpg _P1,155,99,1608,99,158,2248,1608,2247,
100001124877_#1.jpg _P1,157,99,1609,99,158,2249,1609,2248,
100001134872_#1.jpg _P1,153,100,1605,99,157,2249,1607,2247,
100001144867_#1.jpg _P1,154,101,1606,101,157,2250,1607,2249,
100001154862_#1.jpg _P1,153,100,1606,99,157,2249,1608,2246,
100001164857_#1.jpg _P1,155,101,1607,100,158,2250,1609,2248,
100001174852_#1.jpg _P1,154,101,1606,100,157,2250,1608,2248,
100001184847_#1.jpg _P1,155,100,1607,99,158,2249,1609,2247,
100001194842_#1.jpg _P1,157,98,1609,99,156,2247,1608,2247,
100001204880_#1.jpg _P1,154,101,1606,100,157,2250,1607,2249,
100001214875_#1.jpg _P1,156,101,1608,100,158,2250,1609,2249,
100001224870_#1.jpg _P1,157,100,1609,100,158,2249,1609,2248,
100001234865_#1.jpg _P1,156,100,1607,100,157,2249,1608,2248,
100001244860_#1.jpg _P1,152,101,1604,100,155,2250,1607,2248,
100001254855_#1.jpg _P1,154,101,1606,100,157,2250,1608,2248,
100001264850_#1.jpg _P1,154,101,1607,99,158,2250,1610,2247,
100001274845_#1.jpg _P1,157,101,1609,101,159,2250,1610,2249,
100001284840_#1.jpg _P1,156,101,1609,101,157,2250,1609,2250,
100001294835_#1.jpg _P1,156,101,1608,101,158,2250,1609,2249,
100001304873_#1.jpg _P1,156,100,1608,100,156,2249,1608,2249,
100001314868_#1.jpg _P1,155,101,1606,100,157,2250,1608,2248,
100001324863_#1.jpg _P1,155,101,1606,101,157,2250,1607,2249,
100001334858_#1.jpg _P1,155,100,1607,100,157,2250,1608,2248,
100001344853_#1.jpg _P1,157,99,1608,100,157,2249,1608,2248,
100001354848_#1.jpg _P1,157,100,1608,100,159,2250,1609,2248,
100001364843_#1.jpg _P1,155,101,1607,100,158,2250,1608,2249,
100002014878_#1.jpg _P1,155,101,1607,100,158,2251,1609,2249,
100002024873_#1.jpg _P1,154,101,1607,99,158,2250,1608,2248,
100002034868_#1.jpg _P1,155,100,1607,99,157,2248,1608,2248,
100002044863_#1.jpg _P1,153,101,1606,99,157,2250,1607,2248,
100002054858_#1.jpg _P1,156,101,1608,99,160,2251,1610,2249,
100002064853_#1.jpg _P1,154,100,1606,99,157,2249,1608,2248,
100002074848_#1.jpg _P1,154,100,1606,99,157,2249,1607,2248,
100002084843_#1.jpg _P1,154,101,1606,100,157,2250,1608,2248,
100002094838_#1.jpg _P1,155,95,1607,95,158,2245,1609,2243,
100002104876_#1.jpg _P1,156,100,1608,100,158,2250,1610,2248,
100002114871_#1.jpg _P1,155,101,1608,101,158,2250,1608,2249,
100002124866_#1.jpg _P1,154,101,1606,100,157,2250,1608,2248,
100002134861_#1.jpg _P1,156,100,1607,100,157,2250,1608,2248,
100002144856_#1.jpg _P1,157,104,1610,104,158,2253,1609,2252,
100002154851_#1.jpg _P1,155,100,1606,99,157,2249,1608,2248,
100002164846_#1.jpg _P1,156,100,1608,100,159,2250,1610,2248,
100002174841_#1.jpg _P1,156,100,1608,99,157,2249,1609,2247,
100002184836_#1.jpg _P1,157,103,1609,103,158,2252,1609,2252,
100002194831_#1.jpg _P1,156,102,1608,102,157,2252,1608,2250,
100002204869_#1.jpg _P1,156,103,1608,104,156,2252,1608,2252,
100002214864_#1.jpg _P1,157,100,1609,99,159,2249,1610,2248,
100002224859_#1.jpg _P1,153,102,1606,101,156,2251,1608,2249,
100002234854_#1.jpg _P1,155,103,1608,102,157,2252,1609,2250,
100002244849_#1.jpg _P1,157,101,1609,100,158,2249,1610,2249,
100002254844_#1.jpg _P1,156,100,1608,99,157,2249,1609,2247,
100002264839_#1.jpg _P1,156,104,1608,105,157,2253,1609,2252,
100002274834_#1.jpg _P1,158,104,1609,105,156,2253,1609,2253,
100002284829_#1.jpg _P1,157,99,1609,100,158,2249,1610,2247,
100002294824_#1.jpg _P1,156,104,1608,105,155,2253,1608,2253,
100002304862_#1.jpg _P1,157,101,1609,101,158,2250,1611,2249,
100002314857_#1.jpg _P1,157,100,1609,100,158,2249,1609,2248,
100002324852_#1.jpg _P1,158,101,1609,101,158,2250,1610,2249,
100002334847_#1.jpg _P1,157,100,1607,100,158,2250,1609,2248,
100002344842_#1.jpg _P1,157,100,1607,99,158,2249,1609,2247,
100002354837_#1.jpg _P1,155,101,1605,100,156,2249,1607,2248,
100002364832_#1.jpg _P1,157,102,1609,104,157,2252,1608,2251,
100003014867_#1.jpg _P1,155,100,1607,100,158,2249,1608,2248,
100003024862_#1.jpg _P1,154,101,1606,100,157,2249,1607,2248,
100003034857_#1.jpg _P1,155,104,1607,104,157,2253,1608,2251,
100003044852_#1.jpg _P1,156,103,1609,103,158,2252,1609,2252,
100003054847_#1.jpg _P1,156,98,1609,98,158,2247,1609,2246,
100003064842_#1.jpg _P1,154,102,1600,101,157,2251,1602,2249,
100003074837_#1.jpg _P1,154,101,1607,101,157,2250,1608,2248,
100003084832_#1.jpg _P1,155,100,1607,100,157,2248,1607,2248,
100003094827_#1.jpg _P1,153,100,1605,100,156,2249,1606,2248,
100003104865_#1.jpg _P1,154,101,1605,99,158,2249,1608,2247,
100003114860_#1.jpg _P1,155,100,1607,99,157,2249,1608,2248,
100003124855_#1.jpg _P1,154,100,1606,99,157,2249,1608,2247,
100003134850_#1.jpg _P1,156,101,1607,100,157,2250,1608,2248,
100003144845_#1.jpg _P1,156,100,1608,99,157,2248,1609,2247,
100003154840_#1.jpg _P1,156,99,1608,99,157,2247,1609,2247,
100003164835_#1.jpg _P1,154,102,1606,101,156,2250,1607,2249,
100003174830_#1.jpg _P1,156,101,1609,100,158,2249,1610,2248,
100003184825_#1.jpg _P1,154,100,1605,99,156,2249,1607,2248,
100003194820_#1.jpg _P1,156,101,1608,100,158,2250,1609,2248,
100003204858_#1.jpg _P1,153,102,1605,100,156,2250,1607,2248,
100003214853_#1.jpg _P1,155,100,1607,99,158,2249,1609,2247,
100003224848_#1.jpg _P1,155,100,1606,100,157,2249,1607,2248,
100003234843_#1.jpg _P1,155,101,1607,100,157,2249,1607,2249,
100003244838_#1.jpg _P1,152,101,1605,99,158,2250,1608,2247,
100003254833_#1.jpg _P1,156,101,1609,100,159,2249,1609,2248,
100003264828_#1.jpg _P1,154,101,1606,99,157,2250,1608,2248,
100003274823_#1.jpg _P1,155,101,1608,100,158,2249,1609,2248,
100003284818_#1.jpg _P1,156,101,1609,100,158,2249,1609,2248,
100003294813_#1.jpg _P1,155,101,1607,100,158,2250,1609,2247,
100003304851_#1.jpg _P1,155,101,1608,100,157,2249,1609,2248,
100003314846_#1.jpg _P1,155,101,1607,100,157,2250,1608,2248,
100003324841_#1.jpg _P1,155,102,1607,101,157,2250,1609,2249,
