卷號,上,右,左,下,
100001014889_#1.jpg _P2,1449.00034506552,2147.00023288308,2149.00023266634,1447.00034554246,
100001024884_#1.jpg _P2,1448,2148.00023277466,2149.00023266634,1448.00034530383,
100001034879_#1.jpg _P2,1449.00138026159,2147.00023288308,2149.00023266634,1447,
100001044874_#1.jpg _P2,1448.00034530383,2147.00209594681,2149.00023266634,1446.00034578142,
100001054869_#1.jpg _P2,1449.00034506552,2147.00093153217,2149,1447.00034554246,
100001064864_#1.jpg _P2,1449.00034506552,2148.00023277466,2149.00209399619,1447.00138216935,
100001074859_#1.jpg _P2,1448.00138121481,2147.00209594681,2149.00093066522,1447,
100001084854_#1.jpg _P2,1449.00034506552,2147.00023288308,2149.00209399619,1447.00310987917,
100001094849_#1.jpg _P2,1449,2147,2149.00093066522,1447.00138216935,
100001104887_#1.jpg _P2,1449,2148,2149.00093066522,1447.00034554246,
100001114882_#1.jpg _P2,1448,2148,2149.00023266634,1447.00034554246,
100001124877_#1.jpg _P2,1449.00034506552,2148.00023277466,2149,1448,
100001134872_#1.jpg _P2,1449,2147,2149.00093066522,1447.00138216935,
100001144867_#1.jpg _P2,1449.00034506552,2148,2148.00023277466,1448.00034530383,
100001154862_#1.jpg _P2,1449,2148,2149.00093066522,1447.00034554246,
100001164857_#1.jpg _P2,1449,2148.00023277466,2149.00023266634,1447.00034554246,
100001174852_#1.jpg _P2,1449.00034506552,2148,2148.00093109849,1447.00034554246,
100001184847_#1.jpg _P2,1449,2147,2149.00093066522,1447.00138216935,
100001194842_#1.jpg _P2,1449.00138026159,2147.00209594681,2149.00093066522,1448,
100001204880_#1.jpg _P2,1449,2148.00023277466,2149.00023266634,1447.00034554246,
100001214875_#1.jpg _P2,1449.00034506552,2147.00023288308,2149,1448.00034530383,
100001224870_#1.jpg _P2,1448,2148.00023277466,2148,1447,
100001234865_#1.jpg _P2,1449.00034506552,2147,2149.00023266634,1448.00034530383,
100001244860_#1.jpg _P2,1449.00138026159,2148.00023277466,2148.00209497105,1447.00138216935,
100001254855_#1.jpg _P2,1449,2147,2149.00023266634,1448.00138121481,
100001264850_#1.jpg _P2,1448.00034530383,2148.00093109849,2149.00209399619,1447.00138216935,
100001274845_#1.jpg _P2,1450.00034482755,2148.00093109849,2149.00023266634,1447,
100001284840_#1.jpg _P2,1448,2148.00023277466,2149,1447.00034554246,
100001294835_#1.jpg _P2,1449,2147.00023288308,2148.00023277466,1447.00034554246,
100001304873_#1.jpg _P2,1448.00034530383,2148.00023277466,2149,1447,
100001314868_#1.jpg _P2,1449.00034506552,2147,2148.00093109849,1447.00138216935,
100001324863_#1.jpg _P2,1448,2147,2148.00023277466,1447.00034554246,
100001334858_#1.jpg _P2,1449.00034506552,2147,2150.00023255813,1448.00138121481,
100001344853_#1.jpg _P2,1449.00138026159,2147.00093153217,2150,1447.00034554246,
100001354848_#1.jpg _P2,1449.00034506552,2148.00023277466,2149,1448,
100001364843_#1.jpg _P2,1449.00034506552,2147,2149.00023266634,1448.00034530383,
100002014878_#1.jpg _P2,1449.00034506552,2147,2147.00023288308,1448.00034530383,
100002024873_#1.jpg _P2,1448,2147,2148.00023277466,1447.00034554246,
100002034868_#1.jpg _P2,1448,2148,2149.00023266634,1447.00034554246,
100002044863_#1.jpg _P2,1449.00034506552,2148,2148.00023277466,1448.00034530383,
100002054858_#1.jpg _P2,1449.00034506552,2148,2148.00093109849,1447.00034554246,
100002064853_#1.jpg _P2,1449.00034506552,2148,2148.00093109849,1447.00034554246,
100002074848_#1.jpg _P2,1449.00034506552,2147.00023288308,2149.00023266634,1447.00034554246,
100002084843_#1.jpg _P2,1449.00034506552,2148.00023277466,2148.00093109849,1448.00034530383,
100002094838_#1.jpg _P2,1449,2148,2148.00023277466,1448,
100002104876_#1.jpg _P2,1449,2147.00023288308,2149.00023266634,1447.00138216935,
100002114871_#1.jpg _P2,1448.00034530383,2147.00023288308,2148,1447,
100002124866_#1.jpg _P2,1449,2147,2148.00023277466,1448.00034530383,
100002134861_#1.jpg _P2,1449,2148,2148.00023277466,1448,
100002144856_#1.jpg _P2,1448.00138121481,2147.00093153217,2148.00023277466,1447.00034554246,
100002154851_#1.jpg _P2,1448,2148,2149,1448.00034530383,
100002164846_#1.jpg _P2,1449.00034506552,2147.83429376148,2148.00093109849,1448.15330145415,
100002174841_#1.jpg _P2,1449.00034506552,2148,2148.00023277466,1448.00034530383,
100002184836_#1.jpg _P2,1449.00034506552,2147.00023288308,2149.00023266634,1447.00034554246,
100002194831_#1.jpg _P2,1449.00034506552,2147.00023288308,2148.00023277466,1447,
100002204869_#1.jpg _P2,1450.00034482755,2147.00093153217,2148,1448,
100002214864_#1.jpg _P2,1449,2148,2149.00023266634,1448.00034530383,
100002224859_#1.jpg _P2,1448.00034530383,2147.00023288308,2148.00093109849,1447.00138216935,
100002234854_#1.jpg _P2,1449,2147,2149.00023266634,1448.00138121481,
100002244849_#1.jpg _P2,1448,2147,2148.00023277466,1447.00034554246,
100002254844_#1.jpg _P2,1448.00034530383,2148.00023277466,2147.00023288308,1448,
100002264839_#1.jpg _P2,1449.00034506552,2148,2149,1449,
100002274834_#1.jpg _P2,1449.00034506552,2147.00093153217,2149,1447.00034554246,
100002284829_#1.jpg _P2,1448,2147,2147.00023288308,1447,
100002294824_#1.jpg _P2,1449,2147,2148.00023277466,1448.00034530383,
100002304862_#1.jpg _P2,1449.00034506552,2147.00023288308,2148.00093109849,1448.00138121481,
100002314857_#1.jpg _P2,1450,2148.00023277466,2148.00023277466,1448,
100002324852_#1.jpg _P2,1448.00034530383,2148,2148.00023277466,1447.00034554246,
100002334847_#1.jpg _P2,1449,2147.00023288308,2148.00093109849,1448.00034530383,
100002344842_#1.jpg _P2,1449,2147.00023288308,2148.00093109849,1448.00034530383,
100002354837_#1.jpg _P2,1449,2147,2148.00093109849,1447.00034554246,
100002364832_#1.jpg _P2,1450.00137930969,2147.00209594681,2149.00023266634,1448,
100003014867_#1.jpg _P2,1449,2147,2148.00023277466,1448.00034530383,
100003024862_#1.jpg _P2,1448,2148,2148,1448,
100003034857_#1.jpg _P2,1449.00034506552,2148.00023277466,2148.00023277466,1447.00034554246,
100003044852_#1.jpg _P2,1449,2148.00023277466,2148,1448,
100003054847_#1.jpg _P2,1448,2147,2147,1448,
100003064842_#1.jpg _P2,1449,2148.00023277466,2148.00023277466,1447,
100003074837_#1.jpg _P2,1450.00034482755,2147.00093153217,2148.00023277466,1447,
100003084832_#1.jpg _P2,1448,2148.00023277466,2148,1447,
100003094827_#1.jpg _P2,1449,2147.00023288308,2148.00023277466,1447.00034554246,
100003104865_#1.jpg _P2,1449.00138026159,2147.00023288308,2147.00209594681,1447.00138216935,
100003114860_#1.jpg _P2,1448.00034530383,2148,2148.00023277466,1447.00034554246,
100003124855_#1.jpg _P2,1449,2148,2149.00023266634,1448.00034530383,
100003134850_#1.jpg _P2,1448,2148.00023277466,2148,1447,
100003144845_#1.jpg _P2,1450,2148.00023277466,2149.00023266634,1448.00034530383,
100003154840_#1.jpg _P2,1448,2147.00023288308,2148,1447.00034554246,
100003164835_#1.jpg _P2,1449,2147,2148.00093109849,1447.00034554246,
100003174830_#1.jpg _P2,1448,2148,2148,1448,
100003184825_#1.jpg _P2,1449.00138026159,2148,2148.00093109849,1447.00138216935,
100003194820_#1.jpg _P2,1449,2148.00023277466,2148,1448,
100003204858_#1.jpg _P2,1449.00034506552,2148.00023277466,2148.00093109849,1448.00034530383,
100003214853_#1.jpg _P2,1449,2147,2149.00023266634,1448.00138121481,
100003224848_#1.jpg _P2,1449,2148.00023277466,2148,1448,
100003234843_#1.jpg _P2,1449.00034506552,2147.00023288308,2149,1448.00034530383,
100003244838_#1.jpg _P2,1450.00034482755,2148.00023277466,2149.00209399619,1448.00138121481,
100003254833_#1.jpg _P2,1449.00034506552,2147.00093153217,2148.00023277466,1448,
100003264828_#1.jpg _P2,1449.00034506552,2148,2149.00093066522,1447.00138216935,
100003274823_#1.jpg _P2,1450,2147.00023288308,2148.00023277466,1448.00034530383,
100003284818_#1.jpg _P2,1448,2147,2148.00023277466,1447.00034554246,
100003294813_#1.jpg _P2,1449,2148,2148.00023277466,1448,
100003304851_#1.jpg _P2,1449,2147,2148.00093109849,1447.00034554246,
100003314846_#1.jpg _P2,1449,2148,2148.00023277466,1448,
100003324841_#1.jpg _P2,1448,2148,2149.00023266634,1447.00034554246,
100003334836_#1.jpg _P2,1449,2147,2148.00023277466,1448.00034530383,
100003344831_#1.jpg _P2,1449.00034506552,2147,2149.00023266634,1448.00034530383,
100003354826_#1.jpg _P2,1449,2148.00023277466,2148.00023277466,1447,
100003364821_#1.jpg _P2,1449,2147,2149.00023266634,1448.00138121481,
100004014856_#1.jpg _P2,1449.00034506552,2147.00093153217,2148.00023277466,1446,
100004024851_#1.jpg _P2,1448.00034530383,2147.00023288308,2148,1447,
100004034846_#1.jpg _P2,1449,2147,2148.00023277466,1448.00034530383,
100004044841_#1.jpg _P2,1448,2148.00023277466,2148,1447,
100004054836_#1.jpg _P2,1449,2147,2148.00023277466,1448.00034530383,
100004064831_#1.jpg _P2,1448,2148.00023277466,2148.00023277466,1446,
100004074826_#1.jpg _P2,1449.00034506552,2148.00023277466,2148.00023277466,1447.00034554246,
100004084821_#1.jpg _P2,1449,2148.00023277466,2148.00023277466,1447,
100004094816_#1.jpg _P2,1448.00034530383,2147,2147,1448.00034530383,
100004104854_#1.jpg _P2,1449,2146,2147.00023288308,1448.00034530383,
100004114849_#1.jpg _P2,1449.00034506552,2147.00209594681,2147.00023288308,1447.00034554246,
100004124844_#1.jpg _P2,1449,2147,2148.00023277466,1448.00034530383,
100004134839_#1.jpg _P2,1449.00034506552,2147.00209594681,2147.00023288308,1447.00034554246,
100004144834_#1.jpg _P2,1449.00034506552,2147.00093153217,2148,1447,
100004154829_#1.jpg _P2,1449,2148.00093109849,2148,1447,
100004164824_#1.jpg _P2,1448,2147,2147.00023288308,1447,
100004174819_#1.jpg _P2,1448,2147,2147,1448,
100004184814_#1.jpg _P2,1450,2147.00209594681,2147,1447,
100004194809_#1.jpg _P2,1449,2147,2148.00093109849,1447.00034554246,
100004204847_#1.jpg _P2,1449.00034506552,2146.00093196625,2147.00023288308,1448,
100004214842_#1.jpg _P2,1449,2147,2148.00023277466,1448.00034530383,
100004224837_#1.jpg _P2,1448,2147,2147,1448,
100004234832_#1.jpg _P2,1450,2147.00023288308,2148.00023277466,1448.00034530383,
100004244827_#1.jpg _P2,1449,2147,2148.00023277466,1448.00034530383,
100004254822_#1.jpg _P2,1449.00034506552,2147.00023288308,2147.00023288308,1447.00034554246,
