卷號,上,右,左,下,
100001355848_#2.jpg _P4,1466.00545701576,2145.02820494277,2146.01141655864,1462.00307797214,
100001365843_#2.jpg _P4,1466.00136425585,2145.01142188101,2146.0058247824,1464.00034153001,
100002015878_#2.jpg _P4,1464.00546447068,2144.01888984216,2145.01491836304,1463.00307586826,
100002025873_#2.jpg _P4,1466.00306957387,2145.02820494277,2145.01142188101,1462.00307797214,
100002035868_#2.jpg _P4,1466,2146.00372786256,2147.00023288308,1463.00034176346,
100002045863_#2.jpg _P4,1466,2146.0058247824,2147,1461.00034223131,
100002055858_#2.jpg _P4,1466.00034106408,2146.00372786256,2146.0002329916,1461.00034223131,
100002065853_#2.jpg _P4,1466.00034106408,2146.00209692349,2146,1463.00034176346,
100002075848_#2.jpg _P4,1465,2146.00372786256,2147.00023288308,1462.00034199722,
100002085843_#2.jpg _P4,1465.00034129689,2147.00372612625,2147,1461.00034223131,
100002095838_#2.jpg _P4,1466.00034106408,2147.00582206942,2147.00023288308,1462.00034199722,
100002105876_#2.jpg _P4,1466.00136425585,2146.00209692349,2145,1463.00034176346,
100002115871_#2.jpg _P4,1465.00034129689,2146.00209692349,2146,1462.00034199722,
100002125866_#2.jpg _P4,1467,2146.0058247824,2146.0002329916,1463,
100002135861_#2.jpg _P4,1467.00034083159,2146.0058247824,2146,1462.00034199722,
100002145856_#2.jpg _P4,1466.00034106408,2146.00209692349,2146,1463.00034176346,
100002155851_#2.jpg _P4,1466.00136425585,2147.00372612625,2146,1462.00034199722,
100002165846_#2.jpg _P4,1466.00034106408,2147.00582206942,2145.00023310022,1462.00034199722,
100002175841_#2.jpg _P4,1465.00136518708,2146.00093196625,2146.0002329916,1462.00136798842,
100002185836_#2.jpg _P4,1467.00136332588,2147.00582206942,2146,1462.00034199722,
100002195831_#2.jpg _P4,1467,2145.00839159198,2146.0002329916,1462.00034199722,
100002205869_#2.jpg _P4,1467,2146.00838768165,2146.0002329916,1462,
100002215864_#2.jpg _P4,1466.00136425585,2146.00209692349,2146,1463.00136705336,
100002225859_#2.jpg _P4,1466.00136425585,2147.00372612625,2146,1462.00034199722,
100002235854_#2.jpg _P4,1466.00136425585,2146.00209692349,2146.0002329916,1462.00136798842,
100002245849_#2.jpg _P4,1466.00136425585,2147.00093153217,2146.0002329916,1463.00034176346,
100002255844_#2.jpg _P4,1466.00136425585,2146.00209692349,2146,1463.00136705336,
100002265839_#2.jpg _P4,1466.00034106408,2146.00209692349,2146.0002329916,1464.00034153001,
100002275834_#2.jpg _P4,1465.00136518708,2146.00093196625,2146,1463.00136705336,
100002285829_#2.jpg _P4,1466.00545701576,2146.02819179991,2146.01141655864,1462.00547194598,
100002295824_#2.jpg _P4,1466.17563868477,2144.93473924213,2146.01491141138,1463.00307586826,
100002305862_#2.jpg _P4,1466.00136425585,2147.00209594681,2147,1463.00136705336,
100002315857_#2.jpg _P4,1466.00034106408,2147.00209594681,2147,1463.00034176346,
100002325852_#2.jpg _P4,1466.00136425585,2147.00209594681,2146,1463.00034176346,
100002335847_#2.jpg _P4,1466.00034106408,2146.00838768165,2146.00093196625,1462.00034199722,
100002345842_#2.jpg _P4,1465.00136518708,2147.00209594681,2146,1462.00034199722,
100002355837_#2.jpg _P4,1466.00545701576,2146.03355052991,2147.01141124122,1461.00308007889,
100002365832_#2.jpg _P4,1467.00306748146,2146.02329903475,2147.00838377497,1463.00136705336,
100003015867_#2.jpg _P4,1465.00853239836,2144.01888984216,2146.01141655864,1463.00307586826,
100003025862_#2.jpg _P4,1466.00306957387,2146.02329903475,2145.01142188101,1463.00546820578,
100003035857_#2.jpg _P4,1466.00306957387,2145.02330989665,2146.00838768165,1462.00136798842,
100003045852_#2.jpg _P4,1465.00136518708,2145.01142188101,2146.00838768165,1464.00034153001,
100003055847_#2.jpg _P4,1466.00306957387,2145.02330989665,2146.00838768165,1462.00136798842,
100003065842_#2.jpg _P4,1465.00546074068,2144.02332076869,2146.00838768165,1461.00136892475,
100003075837_#2.jpg _P4,1467.00306748146,2145.02820494277,2146.00838768165,1462.00136798842,
100003085832_#2.jpg _P4,1466.00306957387,2145.02330989665,2146.00838768165,1462.00136798842,
100003095827_#2.jpg _P4,1466.00545701576,2145.02820494277,2146.01491141138,1463.00307586826,
100003105865_#2.jpg _P4,1466.00852657821,2145.03356617094,2147.01141124122,1461.00308007889,
100003115860_#2.jpg _P4,1466.00852657821,2145.03356617094,2147.01141124122,1461.00308007889,
100003125855_#2.jpg _P4,1467.00306748146,2145.02820494277,2147.00838377497,1462.00034199722,
100003135850_#2.jpg _P4,1466.00545701576,2145.02820494277,2146.01141655864,1462.00307797214,
100003145845_#2.jpg _P4,1467.00545329593,2145.02820494277,2146.01141655864,1463.00307586826,
100003155840_#2.jpg _P4,1465.00307166913,2145.01888103578,2146.01141655864,1463.00136705336,
100003165835_#2.jpg _P4,1466.00136425585,2146.02329903475,2146.00838768165,1462.00136798842,
100003175830_#2.jpg _P4,1466.00034106408,2145.01491836304,2145.00372960049,1462.00034199722,
100003185825_#2.jpg _P4,1466.00306957387,2145.02330989665,2145.01142188101,1463.00307586826,
100003195820_#2.jpg _P4,1467.00306748146,2145.02330989665,2146.00838768165,1463.00136705336,
100003205858_#2.jpg _P4,1467.66338330511,2143.91084005783,2144.00583021595,1463.00136705336,
100003215853_#2.jpg _P4,1467.00306748146,2145.02330989665,2146.00838768165,1463.00136705336,
100003225848_#2.jpg _P4,1466.00545701576,2144.02332076869,2146.01141655864,1463.00136705336,
100003235843_#2.jpg _P4,1465.00307166913,2144.02332076869,2145.01142188101,1462.00136798842,
100003245838_#2.jpg _P4,1465.00307166913,2144.02332076869,2145.01491836304,1463.00136705336,
100003255833_#2.jpg _P4,1465.00546074068,2145.02330989665,2146.01141655864,1462.00307797214,
