卷號,上,右,左,下,
100001015889_#1.jpg _P2,1455.0013745698,2148.00372439156,2150.00093023236,1457.00549072404,
100001025884_#1.jpg _P2,1456.00034340655,2148.00093109849,2149.00023266634,1457.00137268295,
100001035879_#1.jpg _P2,1456.00034340655,2148.00093109849,2149.00209399619,1457,
100001045874_#1.jpg _P2,1457.00137268295,2148.00093109849,2150.00209302224,1458,
100001055869_#1.jpg _P2,1457,2149.00023266634,2149.00093066522,1458,
100001065864_#1.jpg _P2,1457.00034317086,2148.00209497105,2149.00209399619,1457,
100001075859_#1.jpg _P2,1456.00034340655,2148.00023277466,2150.00093023236,1457.00034317086,
100001085854_#1.jpg _P2,1455.00034364257,2149.00023266634,2150.00209302224,1457,
100001095849_#1.jpg _P2,1455.00034364257,2148,2150.00093023236,1457.00034317086,
100001105887_#1.jpg _P2,1456,2149.00023266634,2150.00209302224,1458.00034293549,
100001115882_#1.jpg _P2,1456,2147.00093153217,2151.00023245001,1457.00549072404,
100001125877_#1.jpg _P2,1456,2148.00023277466,2152.00023234199,1456.00549449513,
100001135872_#1.jpg _P2,1457.00034317086,2148.00093109849,2151.00092979989,1457.00549072404,
100001145867_#1.jpg _P2,1456,2148.00023277466,2151,1457.00308853482,
100001155862_#1.jpg _P2,1457.00034317086,2148.00023277466,2152,1458.00308641649,
100001165857_#1.jpg _P2,1457.00034317086,2148,2152,1457.00308853482,
100001175852_#1.jpg _P2,1456.00034340655,2149.00023266634,2152.00092936783,1457.00137268295,
100001185847_#1.jpg _P2,1456,2148.00023277466,2152,1457.00549072404,
100001195842_#1.jpg _P2,1456,2147.00093153217,2151,1458.00548695813,
100001205880_#1.jpg _P2,1456,2148.00023277466,2150.00023255813,1458.00137174147,
100001215875_#1.jpg _P2,1456.00034340655,2148.00093109849,2149,1458.00137174147,
100001225870_#1.jpg _P2,1457,2148.00023277466,2152,1458.00548695813,
100001235865_#1.jpg _P2,1456.00137362573,2148.00209497105,2150.00093023236,1457.00549072404,
100001245860_#1.jpg _P2,1456,2148.00023277466,2150.00023255813,1458.00137174147,
100001255855_#1.jpg _P2,1457,2148.00023277466,2151,1458.00308641649,
100001265850_#1.jpg _P2,1456,2148.00023277466,2151,1457.00308853482,
100001275845_#1.jpg _P2,1457,2148,2150.00023255813,1458.00137174147,
100001285840_#1.jpg _P2,1457,2148,2151.00023245001,1458.00308641649,
100001295835_#1.jpg _P2,1455,2149.00023266634,2151,1456.00137362573,
100001305873_#1.jpg _P2,1456.00034340655,2148,2151.00023245001,1457.00137268295,
100001315868_#1.jpg _P2,1457,2148.00023277466,2151,1458.00308641649,
100001325863_#1.jpg _P2,1456,2148,2151.00023245001,1457.00308853482,
100001335858_#1.jpg _P2,1457.00034317086,2148.00023277466,2152.00023234199,1459.00308430106,
100001345853_#1.jpg _P2,1457.00137268295,2147.00209594681,2150.00093023236,1458.008573363,
100001355848_#1.jpg _P2,1457.00034317086,2148.00093109849,2150.00023255813,1458.00308641649,
100001365843_#1.jpg _P2,1456,2147.00093153217,2150.00023255813,1457.00308853482,
100002015878_#1.jpg _P2,1456.00137362573,2148.00093109849,2149.00093066522,1456.00309065606,
100002025873_#1.jpg _P2,1456,2148.00093109849,2151,1458.00308641649,
100002035868_#1.jpg _P2,1456.00549449513,2148.00837987192,2150.01139531864,1457.00137268295,
100002045863_#1.jpg _P2,1455.00309278022,2149.00837597251,2150.01488366941,1457.00137268295,
100002055858_#1.jpg _P2,1456.00549449513,2149.00581665104,2151.01139002098,1458.00137174147,
100002065853_#1.jpg _P2,1455.0013745698,2148.00093109849,2150.00581394563,1458,
100002075848_#1.jpg _P2,1456.00137362573,2149.00209399619,2150.00372092701,1457.00034317086,
100002085843_#1.jpg _P2,1456.00309065606,2148.00209497105,2151.00371919716,1457,
100002095838_#1.jpg _P2,1456.00034340655,2148.00093109849,2149.00209399619,1457,
100002105876_#1.jpg _P2,1456.00549449513,2148.00581935897,2150.01139531864,1458.00137174147,
100002115871_#1.jpg _P2,1456.00137362573,2149.00209399619,2150.00372092701,1457.00034317086,
100002125866_#1.jpg _P2,1457.00308853482,2148.00581935897,2148.96697993195,1458.03988137554,
100002135861_#1.jpg _P2,1455.00309278022,2149.00581665104,2149.01140062123,1457.00308853482,
100002145856_#1.jpg _P2,1456.00034340655,2148.00093109849,2149.00372265848,1458,
100002155851_#1.jpg _P2,1456.00137362573,2149.00209399619,2149.00581665104,1458.00137174147,
100002165846_#1.jpg _P2,1456.00549449513,2149.01140062123,2149.01489059522,1457.00549072404,
100002175841_#1.jpg _P2,1456.00137362573,2148.00209497105,2149.00372265848,1457.00034317086,
100002185836_#1.jpg _P2,1456.00137362573,2149.00209399619,2149.00581665104,1458.00137174147,
100002195831_#1.jpg _P2,1457.00137268295,2149.00372265848,2149.00581665104,1458.00137174147,
100002205869_#1.jpg _P2,1457.00137268295,2149.00372265848,2150.00372092701,1457.00034317086,
100002215864_#1.jpg _P2,1456.00549449513,2149.00581665104,2150.01139531864,1458.00308641649,
100002225859_#1.jpg _P2,1456.00137362573,2149.00209399619,2149.00581665104,1458.00137174147,
100002235854_#1.jpg _P2,1456.00309065606,2148.00372439156,2149.01140062123,1459.00137080128,
100002245849_#1.jpg _P2,1456.00137362573,2149.00209399619,2150.00372092701,1457.00034317086,
100002255844_#1.jpg _P2,1455.00309278022,2148.00209497105,2150.00837207672,1458.00034293549,
100002265839_#1.jpg _P2,1456.00137362573,2149.00209399619,2150.00581394563,1458.00034293549,
100002275834_#1.jpg _P2,1457.00034317086,2148.00093109849,2149.00209399619,1458,
100002285829_#1.jpg _P2,1456,2148.00023277466,2149.00023266634,1458.00034293549,
100002295824_#1.jpg _P2,1455,2148.00023277466,2150.00023255813,1457.00137268295,
100002305862_#1.jpg _P2,1457.00034317086,2149.00209399619,2150.00209302224,1457,
100002315857_#1.jpg _P2,1455.0013745698,2148.00093109849,2149.00581665104,1458.00034293549,
100002325852_#1.jpg _P2,1456.00034340655,2148.00093109849,2149.00372265848,1458,
100002335847_#1.jpg _P2,1456.00137362573,2149.00093066522,2150.00372092701,1458.00034293549,
100002345842_#1.jpg _P2,1457.00308853482,2148.00581935897,2149.00837597251,1458.00137174147,
100002355837_#1.jpg _P2,1456.00034340655,2147.00023288308,2150.00093023236,1457.00137268295,
100002365832_#1.jpg _P2,1456.00034340655,2147.00023288308,2150.00023255813,1456.00137362573,
100003015867_#1.jpg _P2,1456.00034340655,2147.00023288308,2150,1457.00549072404,
100003025862_#1.jpg _P2,1456.00137362573,2148.00209497105,2149.00093066522,1457.00308853482,
100003035857_#1.jpg _P2,1457.00034317086,2148.00023277466,2150.00023255813,1457.00308853482,
100003045852_#1.jpg _P2,1456.00034340655,2148.00093109849,2149,1458.00137174147,
100003055847_#1.jpg _P2,1457.00034317086,2148.00093109849,2150.00023255813,1458.00308641649,
100003065842_#1.jpg _P2,1456.00034340655,2148.00023277466,2149.00023266634,1458.00137174147,
100003075837_#1.jpg _P2,1456.00034340655,2148.00023277466,2149.00023266634,1458.00137174147,
100003085832_#1.jpg _P2,1456.00137362573,2148.00023277466,2149.00023266634,1456.00309065606,
100003095827_#1.jpg _P2,1456,2147.00023288308,2149.00023266634,1458.00137174147,
100003105865_#1.jpg _P2,1456.00034340655,2147.00023288308,2149,1457.00308853482,
100003115860_#1.jpg _P2,1457.00034317086,2148.00023277466,2149,1458.00137174147,
100003125855_#1.jpg _P2,1456,2147.00023288308,2150.00023255813,1458.00308641649,
100003135850_#1.jpg _P2,1456.00034340655,2147,2148.00023277466,1457.00137268295,
100003145845_#1.jpg _P2,1456,2148,2150.99829138374,1455.96329229832,
100003155840_#1.jpg _P2,1456.00034340655,2148.00023277466,2149,1457.00137268295,
100003165835_#1.jpg _P2,1456.00034340655,2147.00093153217,2149.00023266634,1457.00308853482,
100003175830_#1.jpg _P2,1456.00034340655,2147.00023288308,2148,1457.00137268295,
100003185825_#1.jpg _P2,1457.00034317086,2147.00023288308,2149,1458.00308641649,
100003195820_#1.jpg _P2,1456.00034340655,2148.00023277466,2150,1457.00308853482,
100003205858_#1.jpg _P2,1457.00137268295,2148.00093109849,2148.00023277466,1458.00137174147,
100003215853_#1.jpg _P2,1456,2147.00093153217,2150,1458.00308641649,
100003225848_#1.jpg _P2,1456,2147.00023288308,2149,1457.00137268295,
100003235843_#1.jpg _P2,1456.00034340655,2148.00023277466,2149,1457.00137268295,
100003245838_#1.jpg _P2,1455.00034364257,2147.00093153217,2148,1457.00137268295,
100003255833_#1.jpg _P2,1455.00034364257,2148.00209497105,2150,1458.00308641649,
100003265828_#1.jpg _P2,1456.00034340655,2147.00093153217,2150,1458.00548695813,
100003275823_#1.jpg _P2,1456.00309065606,2148.00372439156,2148.00093109849,1458.00308641649,
100003285818_#1.jpg _P2,1456.00034340655,2147.00093153217,2149,1458.00308641649,
100003295813_#1.jpg _P2,1456.00137362573,2147.00209594681,2149.00093066522,1457.00549072404,
100003305851_#1.jpg _P2,1455.0013745698,2148.00209497105,2149.00023266634,1457.00308853482,
100003315846_#1.jpg _P2,1456.00034340655,2147.00093153217,2149.00023266634,1457.00308853482,
100003325841_#1.jpg _P2,1456.00034340655,2147.00093153217,2149,1458.00308641649,
100003335836_#1.jpg _P2,1456.00034340655,2147.00023288308,2148,1457.00137268295,
100003345831_#1.jpg _P2,1457,2147.00023288308,2149,1458.00137174147,
100003355826_#1.jpg _P2,1457.00034317086,2148.00023277466,2149.00023266634,1457.00137268295,
100003365821_#1.jpg _P2,1456.00034340655,2147,2149.00023266634,1457.00034317086,
100004015856_#1.jpg _P2,1457.00034317086,2148.00023277466,2149,1458.00137174147,
100004025851_#1.jpg _P2,1457.00034317086,2147.00023288308,2151,1458.00308641649,
100004035846_#1.jpg _P2,1457.00034317086,2148,2150.00023255813,1458.00034293549,
100004045841_#1.jpg _P2,1456.00034340655,2148.00093109849,2151.00023245001,1457.00549072404,
100004055836_#1.jpg _P2,1457,2148,2149.00023266634,1458.00034293549,
100004065831_#1.jpg _P2,1457.00034317086,2148.00023277466,2149.00023266634,1457.00137268295,
100004075826_#1.jpg _P2,1456.00034340655,2148.00093109849,2149.00023266634,1457.00137268295,
100004085821_#1.jpg _P2,1456,2147.00209594681,2151.00023245001,1458.00548695813,
100004095816_#1.jpg _P2,1456,2148.00093109849,2150,1458.00137174147,
100004105854_#1.jpg _P2,1456.00034340655,2148.00209497105,2150.00023255813,1458.00308641649,
100004115849_#1.jpg _P2,1456,2148,2149.00023266634,1457.00034317086,
100004125844_#1.jpg _P2,1457,2148,2150,1457.00137268295,
100004135839_#1.jpg _P2,1456,2148.00023277466,2150,1457.00137268295,
100004145834_#1.jpg _P2,1456,2148.00023277466,2150,1457.00137268295,
100004155829_#1.jpg _P2,1457.00034317086,2148.00093109849,2150.00023255813,1458.00308641649,
100004165824_#1.jpg _P2,1456,2147.00209594681,2151.00023245001,1458.00548695813,
100004175819_#1.jpg _P2,1457.00137268295,2149.00093066522,2149.00093066522,1457.00137268295,
100004185814_#1.jpg _P2,1455.00309278022,2149.00372265848,2149.00093066522,1457.00308853482,
100004195809_#1.jpg _P2,1457.00034317086,2148.00023277466,2149,1458.00137174147,
100004205847_#1.jpg _P2,1456.00137362573,2148.00209497105,2149.00023266634,1458.00308641649,
100004215842_#1.jpg _P2,1457.00137268295,2149.00023266634,2149,1458.00137174147,
100004225837_#1.jpg _P2,1457.00034317086,2148.00093109849,2149.00023266634,1458.00137174147,
100004235832_#1.jpg _P2,1456.00137362573,2148.00093109849,2148,1458.00137174147,
100004245827_#1.jpg _P2,1455.00034364257,2148.00209497105,2149.00023266634,1459.00137080128,
100004255822_#1.jpg _P2,1456.00034340655,2148.00093109849,2149,1458.00137174147,
100004265817_#1.jpg _P2,1456.00137362573,2148.00209497105,2149.00093066522,1457.00308853482,
100004275812_#1.jpg _P2,1457.00308853482,2148.00372439156,2149.00093066522,1459.00548319737,
100004285807_#1.jpg _P2,1457.00137268295,2148.00093109849,2148.00023277466,1458.00137174147,
100004295802_#1.jpg _P2,1456.00137362573,2148.00093109849,2148.00023277466,1457.00137268295,
