卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
100001014889_#2.jpg _P3,154,95,1605,96,151,2241,1600,2243,
100001024884_#2.jpg _P3,154,100,1605,101,151,2247,1600,2248,
100001034879_#2.jpg _P3,153,101,1603,103,149,2248,1599,2250,
100001044874_#2.jpg _P3,154,101,1604,103,150,2248,1599,2249,
100001054869_#2.jpg _P3,153,100,1604,100,151,2247,1601,2247,
100001064864_#2.jpg _P3,154,101,1603,103,150,2248,1599,2249,
100001074859_#2.jpg _P3,156,101,1606,102,152,2247,1601,2249,
100001084854_#2.jpg _P3,154,101,1605,102,151,2247,1600,2249,
100001094849_#2.jpg _P3,154,101,1603,102,150,2248,1599,2248,
100001104887_#2.jpg _P3,153,101,1603,102,151,2247,1599,2249,
100001114882_#2.jpg _P3,155,101,1605,102,151,2248,1600,2250,
100001124877_#2.jpg _P3,154,101,1604,102,151,2247,1600,2249,
100001134872_#2.jpg _P3,155,101,1605,102,152,2247,1601,2249,
100001144867_#2.jpg _P3,155,100,1605,102,150,2246,1600,2249,
100001154862_#2.jpg _P3,153,100,1603,100,151,2245,1600,2246,
100001164857_#2.jpg _P3,154,101,1604,103,151,2247,1599,2250,
100001174852_#2.jpg _P3,154,101,1605,102,151,2248,1600,2249,
100001184847_#2.jpg _P3,153,100,1603,101,149,2246,1598,2248,
100001194842_#2.jpg _P3,155,101,1605,102,152,2247,1601,2249,
100001204880_#2.jpg _P3,155,102,1605,102,154,2249,1603,2249,
100001214875_#2.jpg _P3,153,102,1604,103,150,2248,1599,2250,
100001224870_#2.jpg _P3,155,101,1605,103,152,2248,1601,2250,
100001234865_#2.jpg _P3,156,101,1606,102,152,2248,1602,2249,
100001244860_#2.jpg _P3,154,102,1605,103,152,2248,1601,2250,
100001254855_#2.jpg _P3,154,101,1604,102,151,2247,1600,2249,
100001264850_#2.jpg _P3,154,101,1604,103,151,2247,1600,2249,
100001274845_#2.jpg _P3,155,101,1605,102,153,2248,1602,2248,
100001284840_#2.jpg _P3,155,101,1605,103,152,2247,1601,2249,
100001294835_#2.jpg _P3,154,102,1604,103,152,2248,1601,2249,
100001304873_#2.jpg _P3,154,100,1605,101,151,2246,1601,2248,
100001314868_#2.jpg _P3,155,101,1605,103,151,2248,1600,2249,
100001324863_#2.jpg _P3,155,101,1605,102,151,2247,1600,2249,
100001334858_#2.jpg _P3,154,100,1604,102,150,2246,1599,2249,
100001344853_#2.jpg _P3,154,100,1603,102,149,2246,1597,2249,
100001354848_#2.jpg _P3,153,100,1604,102,150,2246,1599,2248,
100001364843_#2.jpg _P3,156,99,1606,100,153,2245,1602,2247,
100002014878_#2.jpg _P3,153,100,1604,100,151,2246,1600,2247,
100002024873_#2.jpg _P3,156,101,1605,102,153,2247,1602,2248,
100002034868_#2.jpg _P3,156,101,1605,103,152,2248,1602,2249,
100002044863_#2.jpg _P3,154,102,1604,103,151,2248,1601,2249,
100002054858_#2.jpg _P3,153,101,1603,102,150,2248,1599,2249,
100002064853_#2.jpg _P3,156,99,1607,101,151,2245,1601,2248,
100002074848_#2.jpg _P3,155,100,1605,103,151,2247,1600,2249,
100002084843_#2.jpg _P3,154,100,1604,102,150,2246,1599,2249,
100002094838_#2.jpg _P3,155,98,1605,101,148,2244,1598,2247,
100002104876_#2.jpg _P3,155,101,1605,102,153,2248,1602,2249,
100002114871_#2.jpg _P3,154,101,1605,102,153,2248,1601,2249,
100002124866_#2.jpg _P3,155,102,1605,103,151,2248,1601,2250,
100002134861_#2.jpg _P3,154,101,1604,103,151,2248,1599,2249,
100002144856_#2.jpg _P3,155,104,1605,105,154,2251,1602,2251,
100002154851_#2.jpg _P3,155,100,1605,102,150,2247,1599,2249,
100002164846_#2.jpg _P3,155,101,1605,103,151,2248,1600,2250,
100002174841_#2.jpg _P3,154,101,1604,103,150,2248,1601,2249,
100002184836_#2.jpg _P3,154,103,1603,104,150,2249,1599,2251,
100002194831_#2.jpg _P3,155,103,1605,104,152,2249,1602,2251,
100002204869_#2.jpg _P3,155,103,1606,105,151,2250,1602,2251,
100002214864_#2.jpg _P3,154,101,1604,103,151,2248,1600,2249,
100002224859_#2.jpg _P3,155,100,1605,102,151,2247,1600,2249,
100002234854_#2.jpg _P3,153,102,1603,103,150,2248,1600,2250,
100002244849_#2.jpg _P3,155,101,1605,103,153,2248,1602,2249,
100002254844_#2.jpg _P3,155,101,1605,103,152,2248,1602,2249,
100002264839_#2.jpg _P3,154,103,1604,104,151,2249,1601,2250,
100002274834_#2.jpg _P3,155,103,1605,104,153,2250,1602,2250,
100002284829_#2.jpg _P3,156,101,1606,103,151,2247,1601,2249,
100002294824_#2.jpg _P3,155,102,1605,103,151,2248,1602,2249,
100002304862_#2.jpg _P3,153,100,1603,102,149,2247,1599,2249,
100002314857_#2.jpg _P3,154,101,1604,103,150,2247,1599,2249,
100002324852_#2.jpg _P3,157,101,1606,102,155,2248,1604,2248,
100002334847_#2.jpg _P3,156,101,1606,104,150,2247,1600,2250,
100002344842_#2.jpg _P3,156,100,1607,103,151,2247,1601,2250,
100002354837_#2.jpg _P3,154,100,1604,102,149,2246,1599,2249,
100002364832_#2.jpg _P3,153,101,1603,102,150,2247,1599,2249,
100003014867_#2.jpg _P3,158,101,1607,103,153,2247,1602,2250,
100003024862_#2.jpg _P3,156,102,1606,103,152,2248,1602,2250,
100003034857_#2.jpg _P3,153,103,1602,104,149,2249,1597,2251,
100003044852_#2.jpg _P3,154,103,1604,103,152,2249,1601,2249,
100003054847_#2.jpg _P3,152,102,1603,103,148,2247,1598,2249,
100003064842_#2.jpg _P3,153,101,1602,103,151,2248,1598,2249,
100003074837_#2.jpg _P3,154,102,1604,103,151,2248,1600,2249,
100003084832_#2.jpg _P3,156,102,1605,102,153,2248,1602,2249,
100003094827_#2.jpg _P3,154,102,1605,103,151,2248,1600,2250,
100003104865_#2.jpg _P3,154,102,1603,103,150,2248,1598,2249,
100003114860_#2.jpg _P3,156,102,1606,103,153,2248,1602,2249,
100003124855_#2.jpg _P3,155,102,1605,103,151,2248,1600,2250,
100003134850_#2.jpg _P3,157,101,1606,103,152,2246,1601,2249,
100003144845_#2.jpg _P3,155,101,1605,103,151,2246,1601,2249,
100003154840_#2.jpg _P3,155,102,1605,103,152,2248,1601,2249,
100003164835_#2.jpg _P3,153,101,1603,103,149,2247,1598,2249,
100003174830_#2.jpg _P3,155,101,1605,104,150,2247,1600,2250,
100003184825_#2.jpg _P3,154,101,1605,103,151,2248,1600,2249,
100003194820_#2.jpg _P3,155,102,1605,102,153,2248,1602,2248,
100003204858_#2.jpg _P3,155,102,1605,103,152,2248,1602,2249,
100003214853_#2.jpg _P3,155,101,1606,103,150,2246,1599,2249,
100003224848_#2.jpg _P3,154,102,1604,103,151,2249,1600,2249,
100003234843_#2.jpg _P3,155,101,1605,102,151,2247,1601,2248,
100003244838_#2.jpg _P3,155,102,1606,103,151,2249,1600,2250,
100003254833_#2.jpg _P3,155,101,1605,103,151,2247,1600,2249,
100003264828_#2.jpg _P3,157,101,1608,103,153,2248,1602,2249,
100003274823_#2.jpg _P3,155,100,1605,102,150,2246,1600,2249,
100003284818_#2.jpg _P3,155,102,1605,104,152,2248,1601,2249,
100003294813_#2.jpg _P3,154,100,1604,102,150,2246,1599,2248,
100003304851_#2.jpg _P3,156,100,1606,103,152,2246,1600,2248,
100003314846_#2.jpg _P3,156,103,1607,105,152,2249,1602,2251,
100003324841_#2.jpg _P3,155,101,1605,104,150,2248,1600,2249,
100003334836_#2.jpg _P3,155,101,1606,103,151,2248,1601,2249,
100003344831_#2.jpg _P3,155,101,1605,103,151,2247,1600,2249,
100003354826_#2.jpg _P3,154,101,1604,103,150,2247,1599,2249,
100003364821_#2.jpg _P3,155,102,1605,104,151,2248,1600,2250,
100004014856_#2.jpg _P3,156,101,1605,103,151,2246,1600,2248,
100004024851_#2.jpg _P3,155,102,1605,104,152,2248,1600,2249,
100004034846_#2.jpg _P3,154,100,1605,103,149,2246,1599,2248,
100004044841_#2.jpg _P3,155,101,1605,103,152,2247,1600,2249,
100004054836_#2.jpg _P3,154,100,1604,102,149,2246,1599,2248,
100004064831_#2.jpg _P3,156,101,1605,103,152,2247,1600,2249,
100004074826_#2.jpg _P3,155,101,1605,104,150,2248,1600,2249,
100004084821_#2.jpg _P3,154,101,1604,104,150,2248,1599,2249,
100004094816_#2.jpg _P3,155,100,1605,103,152,2247,1600,2248,
100004104854_#2.jpg _P3,155,101,1605,104,151,2247,1601,2249,
100004114849_#2.jpg _P3,155,101,1605,102,152,2247,1601,2247,
100004124844_#2.jpg _P3,155,100,1605,102,150,2245,1600,2248,
100004134839_#2.jpg _P3,155,100,1605,101,152,2246,1601,2247,
100004144834_#2.jpg _P3,155,100,1606,102,151,2246,1600,2248,
100004154829_#2.jpg _P3,153,101,1603,103,149,2247,1598,2248,
100004164824_#2.jpg _P3,154,100,1604,102,150,2246,1599,2248,
100004174819_#2.jpg _P3,154,101,1605,103,151,2247,1600,2248,
100004184814_#2.jpg _P3,155,100,1605,102,150,2246,1599,2248,
100004194809_#2.jpg _P3,156,100,1606,102,153,2246,1602,2247,
100004204847_#2.jpg _P3,154,99,1604,102,149,2245,1599,2247,
100004214842_#2.jpg _P3,153,99,1603,102,149,2245,1598,2246,
100004224837_#2.jpg _P3,155,102,1605,103,152,2248,1601,2248,
100004234832_#2.jpg _P3,153,101,1604,103,151,2247,1600,2248,
100004244827_#2.jpg _P3,155,101,1604,103,150,2246,1600,2249,
100004254822_#2.jpg _P3,157,101,1607,103,152,2246,1602,2248,
100004264817_#2.jpg _P3,155,101,1606,103,151,2246,1600,2248,
100004274812_#2.jpg _P3,154,101,1604,103,150,2246,1600,2248,
100004284807_#2.jpg _P3,155,100,1605,103,151,2246,1601,2248,
100004294802_#2.jpg _P3,156,102,1606,104,153,2248,1602,2249,
100004304840_#2.jpg _P3,155,100,1605,103,152,2246,1601,2247,
100004314835_#2.jpg _P3,153,101,1603,103,149,2246,1598,2248,
100004324830_#2.jpg _P3,156,101,1605,102,153,2246,1601,2248,
100004334825_#2.jpg _P3,156,101,1606,103,153,2247,1602,2248,
100004344820_#2.jpg _P3,154,100,1605,102,150,2246,1600,2248,
100004354815_#2.jpg _P3,153,100,1603,101,150,2246,1599,2247,
100004364810_#2.jpg _P3,153,100,1603,102,150,2246,1599,2248,
100005014845_#2.jpg _P3,156,100,1605,103,151,2246,1599,2248,
100005024840_#2.jpg _P3,155,100,1605,101,151,2245,1600,2247,
100005034835_#2.jpg _P3,154,101,1604,103,151,2247,1599,2248,
100005044830_#2.jpg _P3,156,100,1605,102,152,2246,1601,2247,
100005054825_#2.jpg _P3,155,100,1605,102,150,2246,1599,2248,
100005064820_#2.jpg _P3,155,95,1604,97,151,2240,1600,2242,
100005074815_#2.jpg _P3,156,100,1606,103,150,2245,1600,2248,
100005084810_#2.jpg _P3,154,99,1604,101,149,2244,1599,2247,
100005094805_#2.jpg _P3,155,101,1605,103,150,2246,1600,2248,
100005104843_#2.jpg _P3,156,100,1606,102,152,2245,1601,2247,
100005114838_#2.jpg _P3,154,99,1604,101,150,2244,1599,2246,
100005124833_#2.jpg _P3,154,100,1604,103,150,2245,1598,2248,
100005134828_#2.jpg _P3,157,102,1607,103,153,2247,1602,2249,
100005144823_#2.jpg _P3,154,101,1604,101,151,2245,1599,2247,
100005154818_#2.jpg _P3,156,101,1605,103,152,2247,1601,2249,
100005164813_#2.jpg _P3,156,102,1606,103,153,2248,1602,2249,
100005174808_#2.jpg _P3,155,100,1604,102,151,2246,1599,2248,
100005184803_#2.jpg _P3,156,102,1605,103,152,2247,1600,2249,
100005194895_#2.jpg _P3,155,100,1605,102,152,2246,1601,2247,
100005204836_#2.jpg _P3,155,100,1604,103,150,2246,1599,2249,
100005214831_#2.jpg _P3,155,102,1605,102,153,2247,1601,2248,
100005224826_#2.jpg _P3,156,100,1606,102,151,2246,1600,2248,
100005234821_#2.jpg _P3,154,101,1604,103,150,2247,1600,2248,
100005244816_#2.jpg _P3,155,100,1604,103,151,2246,1599,2248,
100005254811_#2.jpg _P3,155,100,1605,103,151,2246,1600,2248,
100005264806_#2.jpg _P3,154,102,1604,104,151,2247,1600,2249,
100005274801_#2.jpg _P3,156,102,1605,103,152,2247,1601,2248,
100005284893_#2.jpg _P3,156,101,1606,103,153,2246,1602,2248,
100005294888_#2.jpg _P3,156,101,1606,104,152,2247,1601,2249,
100005304829_#2.jpg _P3,155,101,1604,104,151,2247,1600,2249,
100005314824_#2.jpg _P3,153,100,1604,101,152,2245,1600,2246,
100005324819_#2.jpg _P3,155,101,1605,104,150,2246,1599,2249,
100005334814_#2.jpg _P3,155,101,1605,103,151,2246,1600,2248,
100005344809_#2.jpg _P3,155,101,1605,103,152,2247,1601,2248,
100005354804_#2.jpg _P3,154,102,1604,104,151,2248,1600,2249,
100005364896_#2.jpg _P3,154,100,1604,103,150,2246,1600,2249,
100006014834_#2.jpg _P3,154,102,1605,104,150,2247,1599,2249,
100006024829_#2.jpg _P3,154,101,1604,104,150,2247,1599,2249,
100006034824_#2.jpg _P3,155,101,1605,103,152,2247,1600,2248,
100006044819_#2.jpg _P3,153,101,1604,103,150,2247,1598,2248,
100006054814_#2.jpg _P3,155,101,1604,103,151,2247,1600,2248,
100006064809_#2.jpg _P3,154,102,1604,103,149,2247,1599,2249,
100006074804_#2.jpg _P3,155,103,1605,104,153,2249,1601,2249,
100006084896_#2.jpg _P3,156,100,1606,103,150,2246,1600,2249,
100006094891_#2.jpg _P3,154,100,1604,103,150,2246,1598,2248,
