卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,左高-右高,,列標籤,計數 - 上寬-下寬
100002085843_#1.jpg _P1,1463.000342,2149.000931,2147.000233,1462.003078,100002085843_#1.jpg _P1,1463,2149,2147,1462,1,2,,,
100002095838_#1.jpg _P1,1463.000342,2149.000233,2148,1462.001368,100002095838_#1.jpg _P1,1463,2149,2148,1462,1,1,,,
100002105876_#1.jpg _P1,1463.001367,2150.003721,2148.003724,1463.005468,100002105876_#1.jpg _P1,1463,2150,2148,1463,0,2,,,
100002115871_#1.jpg _P1,1462.000342,2150.00093,2148.000233,1461.00308,100002115871_#1.jpg _P1,1462,2150,2148,1461,1,2,,,
100002125866_#1.jpg _P1,1463.000342,2150.00093,2148.000233,1462.003078,100002125866_#1.jpg _P1,1463,2150,2148,1462,1,2,,,
100002135861_#1.jpg _P1,1463.003076,2150.003721,2148.002095,1462.00855,100002135861_#1.jpg _P1,1463,2150,2148,1462,1,2,,,
100002145856_#1.jpg _P1,1463.000342,2150.00093,2148,1461.00308,100002145856_#1.jpg _P1,1463,2150,2148,1461,2,2,,,
100002155851_#1.jpg _P1,1463.001367,2149.002094,2148.000931,1462.003078,100002155851_#1.jpg _P1,1463,2149,2148,1462,1,1,,,
100002165846_#1.jpg _P1,1463.005468,2149.005817,2147.005822,1463.012303,100002165846_#1.jpg _P1,1463,2149,2147,1463,0,2,,,
100002175841_#1.jpg _P1,1463.001367,2150.00093,2148.000931,1463.005468,100002175841_#1.jpg _P1,1463,2150,2148,1463,0,2,,,
100002185836_#1.jpg _P1,1463.001367,2149.000931,2148.000931,1463.003076,100002185836_#1.jpg _P1,1463,2149,2148,1463,0,1,,,
100002195831_#1.jpg _P1,1464.001366,2149.002094,2148.000233,1462.003078,100002195831_#1.jpg _P1,1464,2149,2148,1462,2,1,,,
100002205869_#1.jpg _P1,1463.000342,2149.000233,2148,1462.001368,100002205869_#1.jpg _P1,1463,2149,2148,1462,1,1,,,
100002215864_#1.jpg _P1,1462.003078,2149.003723,2148.003724,1462.005472,100002215864_#1.jpg _P1,1462,2149,2148,1462,0,1,,,
100002225859_#1.jpg _P1,1463.003076,2150.002093,2149.000931,1462.005472,100002225859_#1.jpg _P1,1463,2150,2149,1462,1,1,,,
100002235854_#1.jpg _P1,1462.003078,2149.002094,2147.003726,1463.008544,100002235854_#1.jpg _P1,1462,2149,2147,1463,-1,2,,,
100002245849_#1.jpg _P1,1463.001367,2149.000931,2148.000233,1462.003078,100002245849_#1.jpg _P1,1463,2149,2148,1462,1,1,,,
100002255844_#1.jpg _P1,1462.000342,2150.00093,2148.002095,1463.003076,100002255844_#1.jpg _P1,1462,2150,2148,1463,-1,2,,,
100002265839_#1.jpg _P1,1463.001367,2149.000931,2148.000931,1463.003076,100002265839_#1.jpg _P1,1463,2149,2148,1463,0,1,,,
100002275834_#1.jpg _P1,1463.000342,2149.000233,2148.000233,1463.001367,100002275834_#1.jpg _P1,1463,2149,2148,1463,0,1,,,
100002285829_#1.jpg _P1,1463.001367,2149.002094,2147.002096,1463,100002285829_#1.jpg _P1,1463,2149,2147,1463,0,2,,,
100002295824_#1.jpg _P1,1462.001368,2149.000931,2145.000932,1462.001368,100002295824_#1.jpg _P1,1462,2149,2145,1462,0,4,,,
100002305862_#1.jpg _P1,1463,2150.000233,2148,1462.001368,100002305862_#1.jpg _P1,1463,2150,2148,1462,1,2,,,
100002315857_#1.jpg _P1,1462.001368,2149.000931,2148.000233,1461.00308,100002315857_#1.jpg _P1,1462,2149,2148,1461,1,1,,,
100002325852_#1.jpg _P1,1462.000342,2149,2148,1462.001368,100002325852_#1.jpg _P1,1462,2149,2148,1462,0,1,,,
100002335847_#1.jpg _P1,1462.001368,2149.000233,2148.000931,1463.003076,100002335847_#1.jpg _P1,1462,2149,2148,1463,-1,1,,,
100002345842_#1.jpg _P1,1462.001368,2149.000931,2149.000931,1462.001368,100002345842_#1.jpg _P1,1462,2149,2149,1462,0,0,,,
100002355837_#1.jpg _P1,1463.000342,2149.000233,2146.002097,1461.001369,100002355837_#1.jpg _P1,1463,2149,2146,1461,2,3,,,
100002365832_#1.jpg _P1,1463.000342,2149.000233,2147.000932,1462.000342,100002365832_#1.jpg _P1,1463,2149,2147,1462,1,2,,,
100003015867_#1.jpg _P1,1463.001367,2149.002094,2146.003728,1462.000342,100003015867_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100003025862_#1.jpg _P1,1463.001367,2148.003724,2146.005825,1462,100003025862_#1.jpg _P1,1463,2148,2146,1462,1,2,,,
100003035857_#1.jpg _P1,1462.000342,2148.002095,2146.002097,1462.000342,100003035857_#1.jpg _P1,1462,2148,2146,1462,0,2,,,
100003045852_#1.jpg _P1,1463.001367,2149.000931,2145.002098,1462.001368,100003045852_#1.jpg _P1,1463,2149,2145,1462,1,4,,,
100003055847_#1.jpg _P1,1464.000342,2148.002095,2146.003728,1463.000342,100003055847_#1.jpg _P1,1464,2148,2146,1463,1,2,,,
100003065842_#1.jpg _P1,1462.001368,2149.000931,2146.002097,1461.000342,100003065842_#1.jpg _P1,1462,2149,2146,1461,1,3,,,
100003075837_#1.jpg _P1,1463.001367,2149.000931,2145.002098,1462.001368,100003075837_#1.jpg _P1,1463,2149,2145,1462,1,4,,,
100003085832_#1.jpg _P1,1463.001367,2149.002094,2146.003728,1462.000342,100003085832_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100003095827_#1.jpg _P1,1464.001366,2148.000931,2145.00373,1462.000342,100003095827_#1.jpg _P1,1464,2148,2145,1462,2,3,,,
100003105865_#1.jpg _P1,1462.001368,2149.002094,2146.003728,1461.000342,100003105865_#1.jpg _P1,1462,2149,2146,1461,1,3,,,
100003115860_#1.jpg _P1,1463.001367,2149.000931,2145.00373,1461.001369,100003115860_#1.jpg _P1,1463,2149,2145,1461,2,4,,,
100003125855_#1.jpg _P1,1464.001366,2148.000931,2145.00373,1462.000342,100003125855_#1.jpg _P1,1464,2148,2145,1462,2,3,,,
100003135850_#1.jpg _P1,1463.000342,2148.000233,2145.000932,1462.001368,100003135850_#1.jpg _P1,1463,2148,2145,1462,1,3,,,
100003145845_#1.jpg _P1,1463.001367,2148.000931,2145.002098,1462.000342,100003145845_#1.jpg _P1,1463,2148,2145,1462,1,3,,,
100003155840_#1.jpg _P1,1463.001367,2148.000931,2145.00373,1461.000342,100003155840_#1.jpg _P1,1463,2148,2145,1461,2,3,,,
100003165835_#1.jpg _P1,1463.001367,2148.002095,2145.002098,1463.000342,100003165835_#1.jpg _P1,1463,2148,2145,1463,0,3,,,
100003175830_#1.jpg _P1,1463.000342,2148.000931,2146.000932,1463.000342,100003175830_#1.jpg _P1,1463,2148,2146,1463,0,2,,,
100003185825_#1.jpg _P1,1464.001366,2149.002094,2146.003728,1463.000342,100003185825_#1.jpg _P1,1464,2149,2146,1463,1,3,,,
100003195820_#1.jpg _P1,1463.000342,2149.002094,2146.003728,1462.001368,100003195820_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100003205858_#1.jpg _P1,1463.001367,2148.002095,2146.003728,1462,100003205858_#1.jpg _P1,1463,2148,2146,1462,1,2,,,
100003215853_#1.jpg _P1,1463.001367,2148.002095,2145.000932,1464.000342,100003215853_#1.jpg _P1,1463,2148,2145,1464,-1,3,,,
100003225848_#1.jpg _P1,1463.001367,2149.000931,2146.002097,1462.000342,100003225848_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100003235843_#1.jpg _P1,1462.001368,2149.002094,2146.002097,1462.000342,100003235843_#1.jpg _P1,1462,2149,2146,1462,0,3,,,
100003245838_#1.jpg _P1,1462.000342,2148.002095,2145.002098,1462.001368,100003245838_#1.jpg _P1,1462,2148,2145,1462,0,3,,,
100003255833_#1.jpg _P1,1462.000342,2149.002094,2147.002096,1462.000342,100003255833_#1.jpg _P1,1462,2149,2147,1462,0,2,,,
100003265828_#1.jpg _P1,1463.001367,2148.002095,2146.002097,1463,100003265828_#1.jpg _P1,1463,2148,2146,1463,0,2,,,
100003275823_#1.jpg _P1,1463.001367,2149.002094,2146.002097,1463.000342,100003275823_#1.jpg _P1,1463,2149,2146,1463,0,3,,,
100003285818_#1.jpg _P1,1463.001367,2149.002094,2146.000233,1465.000341,100003285818_#1.jpg _P1,1463,2149,2146,1465,-2,3,,,
100003295813_#1.jpg _P1,1464.003074,2149.003723,2145.00373,1464.000342,100003295813_#1.jpg _P1,1464,2149,2145,1464,0,4,,,
100003305851_#1.jpg _P1,1462.001368,2150.003721,2146.000233,1465.001365,100003305851_#1.jpg _P1,1462,2150,2146,1465,-3,4,,,
100003315846_#1.jpg _P1,1462.001368,2148.003724,2146.002097,1463,100003315846_#1.jpg _P1,1462,2148,2146,1463,-1,2,,,
100003325841_#1.jpg _P1,1463.003076,2149.002094,2146.003728,1462,100003325841_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100003335836_#1.jpg _P1,1463.003076,2149.002094,2145.005827,1461.000342,100003335836_#1.jpg _P1,1463,2149,2145,1461,2,4,,,
100003345831_#1.jpg _P1,1462.001368,2149.002094,2146.002097,1462.000342,100003345831_#1.jpg _P1,1462,2149,2146,1462,0,3,,,
100003355826_#1.jpg _P1,1462.003078,2149.002094,2145.00373,1461.000342,100003355826_#1.jpg _P1,1462,2149,2145,1461,1,4,,,
100003365821_#1.jpg _P1,1463.001367,2149.000233,2146.000932,1462.000342,100003365821_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100004015856_#1.jpg _P1,1464.005464,2150.002093,2145.00373,1463.000342,100004015856_#1.jpg _P1,1464,2150,2145,1463,1,5,,,
100004025851_#1.jpg _P1,1463,2148.000931,2146.002097,1462.001368,100004025851_#1.jpg _P1,1463,2148,2146,1462,1,2,,,
100004035846_#1.jpg _P1,1462.000342,2149.000931,2146.000932,1462.001368,100004035846_#1.jpg _P1,1462,2149,2146,1462,0,3,,,
100004045841_#1.jpg _P1,1463.003076,2149.002094,2145.002098,1463.000342,100004045841_#1.jpg _P1,1463,2149,2145,1463,0,4,,,
100004055836_#1.jpg _P1,1464.000342,2148.000233,2146.002097,1462.000342,100004055836_#1.jpg _P1,1464,2148,2146,1462,2,2,,,
100004065831_#1.jpg _P1,1464.003074,2149.002094,2145.005827,1462.000342,100004065831_#1.jpg _P1,1464,2149,2145,1462,2,4,,,
100004075826_#1.jpg _P1,1463.003076,2149.002094,2146.003728,1462,100004075826_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100004085821_#1.jpg _P1,1463.001367,2148.002095,2146.005825,1461,100004085821_#1.jpg _P1,1463,2148,2146,1461,2,2,,,
100004095816_#1.jpg _P1,1463.001367,2148.000931,2146.000932,1463,100004095816_#1.jpg _P1,1463,2148,2146,1463,0,2,,,
100004105854_#1.jpg _P1,1463.003076,2149.003723,2146.005825,1462,100004105854_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100004115849_#1.jpg _P1,1462.000342,2149.000931,2146.000932,1462.001368,100004115849_#1.jpg _P1,1462,2149,2146,1462,0,3,,,
100004125844_#1.jpg _P1,1464.001366,2148.000931,2145.00373,1462.000342,100004125844_#1.jpg _P1,1464,2148,2145,1462,2,3,,,
100004135839_#1.jpg _P1,1463.000342,2148.000931,2146.002097,1462.000342,100004135839_#1.jpg _P1,1463,2148,2146,1462,1,2,,,
100004145834_#1.jpg _P1,1463.001367,2149.000931,2146.002097,1462.000342,100004145834_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100004155829_#1.jpg _P1,1462.000342,2148.002095,2146.002097,1462.000342,100004155829_#1.jpg _P1,1462,2148,2146,1462,0,2,,,
100004165824_#1.jpg _P1,1463.001367,2148.003724,2146.003728,1463,100004165824_#1.jpg _P1,1463,2148,2146,1463,0,2,,,
100004175819_#1.jpg _P1,1463.003076,2149.003723,2145.00373,1463.000342,100004175819_#1.jpg _P1,1463,2149,2145,1463,0,4,,,
100004185814_#1.jpg _P1,1462.003078,2148.005819,2145.005827,1462,100004185814_#1.jpg _P1,1462,2148,2145,1462,0,3,,,
100004195809_#1.jpg _P1,1463.000342,2148.002095,2146.002097,1463.000342,100004195809_#1.jpg _P1,1463,2148,2146,1463,0,2,,,
100004205847_#1.jpg _P1,1463.000342,2148.003724,2146.003728,1463.000342,100004205847_#1.jpg _P1,1463,2148,2146,1463,0,2,,,
100004215842_#1.jpg _P1,1463.000342,2148.000931,2146.002097,1462.000342,100004215842_#1.jpg _P1,1463,2148,2146,1462,1,2,,,
100004225837_#1.jpg _P1,1464.001366,2148.002095,2146.005825,1462,100004225837_#1.jpg _P1,1464,2148,2146,1462,2,2,,,
100004235832_#1.jpg _P1,1463.001367,2148.002095,2146.003728,1462,100004235832_#1.jpg _P1,1463,2148,2146,1462,1,2,,,
100004245827_#1.jpg _P1,1463.000342,2148.000931,2145.002098,1462.001368,100004245827_#1.jpg _P1,1463,2148,2145,1462,1,3,,,
100004255822_#1.jpg _P1,1462.000342,2147.002096,2146.002097,1462,100004255822_#1.jpg _P1,1462,2147,2146,1462,0,1,,,
100004265817_#1.jpg _P1,1462.001368,2148.005819,2146.005825,1462,100004265817_#1.jpg _P1,1462,2148,2146,1462,0,2,,,
100004275812_#1.jpg _P1,1463.003076,2148.005819,2145.008392,1462,100004275812_#1.jpg _P1,1463,2148,2145,1462,1,3,,,
100004285807_#1.jpg _P1,1463.001367,2148.003724,2146.003728,1463,100004285807_#1.jpg _P1,1463,2148,2146,1463,0,2,,,
100004295802_#1.jpg _P1,1463.001367,2148.002095,2146.003728,1462,100004295802_#1.jpg _P1,1463,2148,2146,1462,1,2,,,
100004305840_#1.jpg _P1,1463.001367,2148.003724,2146.005825,1462,100004305840_#1.jpg _P1,1463,2148,2146,1462,1,2,,,
100004315835_#1.jpg _P1,1463.003076,2148.005819,2145.005827,1463,100004315835_#1.jpg _P1,1463,2148,2145,1463,0,3,,,
100004325830_#1.jpg _P1,1462.001368,2149.000931,2147.000932,1462.005472,100004325830_#1.jpg _P1,1462,2149,2147,1462,0,2,,,
