卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
100003114860_#2.jpg _P4,1702,103,3164,106,1698,2249,3156,2251,
100003124855_#2.jpg _P4,1702,103,3164,107,1697,2250,3155,2252,
100003134850_#2.jpg _P4,1703,103,3165,108,1697,2250,3155,2253,
100003144845_#2.jpg _P4,1702,103,3164,106,1698,2249,3156,2251,
100003154840_#2.jpg _P4,1701,103,3163,106,1697,2249,3155,2250,
100003164835_#2.jpg _P4,1700,103,3162,107,1695,2249,3152,2252,
100003174830_#2.jpg _P4,1701,103,3163,107,1696,2250,3154,2252,
100003184825_#2.jpg _P4,1702,103,3163,106,1697,2249,3155,2251,
100003194820_#2.jpg _P4,1700,102,3162,104,1698,2248,3155,2249,
100003204858_#2.jpg _P4,1702,103,3163,106,1698,2249,3155,2251,
100003214853_#2.jpg _P4,1703,103,3164,107,1696,2249,3154,2253,
100003224848_#2.jpg _P4,1701,103,3162,106,1697,2250,3154,2251,
100003234843_#2.jpg _P4,1702,102,3163,105,1698,2249,3155,2250,
100003244838_#2.jpg _P4,1703,104,3164,107,1697,2250,3154,2253,
100003254833_#2.jpg _P4,1701,103,3164,107,1696,2249,3154,2253,
100003264828_#2.jpg _P4,1704,103,3165,107,1698,2250,3156,2252,
100003274823_#2.jpg _P4,1702,103,3164,106,1697,2249,3154,2252,
100003284818_#2.jpg _P4,1701,103,3163,106,1697,2249,3155,2251,
100003294813_#2.jpg _P4,1701,103,3163,106,1696,2248,3153,2251,
100003304851_#2.jpg _P4,1703,103,3165,106,1697,2249,3155,2252,
100003314846_#2.jpg _P4,1703,105,3165,107,1698,2251,3157,2253,
100003324841_#2.jpg _P4,1702,104,3163,106,1697,2250,3156,2252,
100003334836_#2.jpg _P4,1703,104,3164,106,1698,2250,3156,2251,
100003344831_#2.jpg _P4,1701,103,3162,105,1697,2249,3154,2251,
100003354826_#2.jpg _P4,1700,103,3160,106,1695,2249,3152,2252,
100003364821_#2.jpg _P4,1701,104,3161,105,1696,2250,3154,2252,
100004014856_#2.jpg _P4,1701,103,3163,107,1696,2248,3154,2251,
100004024851_#2.jpg _P4,1701,104,3162,108,1696,2249,3154,2252,
100004034846_#2.jpg _P4,1701,103,3163,107,1695,2248,3153,2251,
100004044841_#2.jpg _P4,1701,103,3164,107,1697,2249,3155,2251,
100004054836_#2.jpg _P4,1701,102,3163,107,1696,2248,3154,2251,
100004064831_#2.jpg _P4,1702,103,3163,107,1696,2249,3155,2252,
100004074826_#2.jpg _P4,1702,103,3163,107,1697,2249,3155,2252,
100004084821_#2.jpg _P4,1700,103,3161,107,1695,2249,3153,2251,
100004094816_#2.jpg _P4,1701,103,3161,106,1696,2248,3154,2251,
100004104854_#2.jpg _P4,1702,104,3162,107,1697,2249,3155,2252,
100004114849_#2.jpg _P4,1700,102,3162,106,1696,2248,3153,2250,
100004124844_#2.jpg _P4,1702,102,3162,107,1696,2248,3154,2251,
100004134839_#2.jpg _P4,1701,101,3161,105,1697,2247,3155,2249,
100004144834_#2.jpg _P4,1702,103,3163,106,1697,2248,3154,2250,
100004154829_#2.jpg _P4,1699,103,3160,106,1695,2248,3153,2251,
100004164824_#2.jpg _P4,1700,103,3162,106,1695,2248,3153,2251,
100004174819_#2.jpg _P4,1702,103,3163,106,1697,2248,3155,2250,
100004184814_#2.jpg _P4,1700,103,3162,106,1694,2248,3153,2251,
100004194809_#2.jpg _P4,1701,102,3162,104,1697,2247,3155,2249,
100004204847_#2.jpg _P4,1700,102,3161,105,1695,2247,3153,2250,
100004214842_#2.jpg _P4,1700,102,3161,104,1695,2246,3153,2249,
100004224837_#2.jpg _P4,1700,104,3162,105,1697,2248,3155,2250,
100004234832_#2.jpg _P4,1701,103,3162,104,1697,2248,3156,2249,
100004244827_#2.jpg _P4,1701,103,3162,106,1696,2249,3154,2251,
100004254822_#2.jpg _P4,1703,103,3164,106,1698,2248,3157,2250,
100004264817_#2.jpg _P4,1702,103,3165,106,1697,2248,3157,2251,
100004274812_#2.jpg _P4,1700,103,3162,106,1696,2248,3155,2251,
100004284807_#2.jpg _P4,1701,103,3162,105,1697,2248,3155,2250,
100004294802_#2.jpg _P4,1703,104,3163,105,1699,2249,3158,2250,
100004304840_#2.jpg _P4,1702,102,3163,104,1698,2247,3157,2249,
100004314835_#2.jpg _P4,1700,103,3161,106,1695,2248,3153,2251,
100004324830_#2.jpg _P4,1702,103,3162,105,1698,2247,3155,2250,
100004334825_#2.jpg _P4,1703,103,3164,105,1699,2248,3156,2251,
100004344820_#2.jpg _P4,1702,103,3163,106,1696,2248,3154,2251,
100004354815_#2.jpg _P4,1700,101,3160,104,1695,2247,3151,2250,
100004364810_#2.jpg _P4,1700,103,3160,105,1695,2248,3152,2250,
100005014845_#2.jpg _P4,1700,103,3160,106,1694,2248,3153,2251,
100005024840_#2.jpg _P4,1702,102,3164,105,1697,2247,3154,2250,
100005034835_#2.jpg _P4,1700,103,3161,105,1696,2248,3154,2250,
100005044830_#2.jpg _P4,1702,102,3164,104,1697,2247,3155,2250,
100005054825_#2.jpg _P4,1700,102,3162,106,1695,2248,3153,2250,
100005064820_#2.jpg _P4,1701,97,3162,99,1696,2242,3154,2245,
100005074815_#2.jpg _P4,1703,103,3165,106,1697,2248,3154,2251,
100005084810_#2.jpg _P4,1700,101,3164,105,1695,2247,3153,2250,
100005094805_#2.jpg _P4,1702,103,3165,105,1697,2248,3155,2251,
100005104843_#2.jpg _P4,1702,102,3164,104,1697,2247,3154,2250,
100005114838_#2.jpg _P4,1700,101,3162,103,1696,2246,3153,2249,
100005124833_#2.jpg _P4,1701,103,3163,106,1695,2248,3152,2251,
100005134828_#2.jpg _P4,1703,103,3166,107,1698,2249,3155,2252,
100005144823_#2.jpg _P4,1700,101,3163,106,1695,2248,3152,2251,
100005154818_#2.jpg _P4,1702,103,3164,107,1697,2249,3154,2252,
100005164813_#2.jpg _P4,1703,103,3165,106,1699,2249,3155,2251,
100005174808_#2.jpg _P4,1701,103,3162,106,1696,2248,3152,2251,
100005184803_#2.jpg _P4,1702,104,3163,107,1696,2249,3153,2252,
100005194895_#2.jpg _P4,1702,102,3163,104,1698,2247,3154,2249,
100005204836_#2.jpg _P4,1701,103,3162,107,1695,2249,3152,2252,
100005214831_#2.jpg _P4,1702,103,3163,106,1697,2248,3154,2251,
100005224826_#2.jpg _P4,1703,103,3164,106,1697,2248,3154,2252,
100005234821_#2.jpg _P4,1701,103,3163,105,1696,2248,3153,2251,
