卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
10000099.jpg _P1,81,73,1162,74,81,1583,1161,1583,
10000100.jpg _P1,83,73,1163,74,84,1585,1164,1585,
10000101.jpg _P1,82,73,1162,74,81,1584,1162,1585,
10000102.jpg _P1,82,74,1163,75,82,1584,1162,1584,
10000103.jpg _P1,81,73,1162,74,81,1584,1162,1584,
10000104.jpg _P1,82,73,1163,74,82,1584,1162,1586,
10000105.jpg _P1,80,73,1161,74,80,1584,1161,1585,
10000106.jpg _P1,82,73,1163,73,83,1585,1163,1584,
10000107.jpg _P1,81,73,1161,74,81,1584,1161,1584,
10000108.jpg _P1,82,72,1163,72,84,1583,1164,1583,
10000109.jpg _P1,82,72,1162,74,81,1583,1161,1584,
10000110.jpg _P1,82,73,1162,73,84,1584,1163,1583,
10000111.jpg _P1,81,73,1161,73,83,1584,1163,1584,
10000112.jpg _P1,83,73,1163,74,83,1585,1163,1585,
10000113.jpg _P1,81,73,1162,74,81,1584,1162,1584,
10000114.jpg _P1,83,72,1163,73,83,1583,1163,1584,
10000115.jpg _P1,81,74,1161,74,82,1586,1162,1586,
10000116.jpg _P1,83,74,1164,74,84,1585,1164,1585,
10000117.jpg _P1,82,73,1162,75,81,1585,1162,1586,
10000118.jpg _P1,82,73,1162,74,83,1586,1163,1585,
10000119.jpg _P1,81,74,1162,74,81,1586,1162,1586,
10000120.jpg _P1,82,72,1162,73,81,1584,1162,1584,
10000121.jpg _P1,84,71,1164,71,85,1582,1165,1582,
10000122.jpg _P1,81,71,1162,71,83,1581,1162,1581,
10000123.jpg _P1,83,71,1163,72,83,1583,1164,1583,
10000124.jpg _P1,82,71,1162,72,83,1584,1163,1584,
10000125.jpg _P1,83,71,1163,71,84,1582,1164,1582,
10000126.jpg _P1,81,71,1161,71,82,1582,1162,1583,
10000127.jpg _P1,83,71,1163,71,84,1584,1164,1583,
10000128.jpg _P1,81,71,1161,71,82,1582,1162,1581,
10000129.jpg _P1,83,71,1163,71,84,1582,1164,1582,
10000130.jpg _P1,81,72,1161,72,83,1583,1163,1583,
10000131.jpg _P1,81,72,1161,72,82,1583,1162,1583,
10000132.jpg _P1,83,72,1163,72,84,1583,1164,1583,
10000133.jpg _P1,81,72,1162,73,82,1584,1161,1584,
10000134.jpg _P1,83,72,1164,73,83,1584,1163,1584,
10000135.jpg _P1,81,72,1161,72,82,1583,1163,1584,
10000136.jpg _P1,82,72,1162,72,83,1584,1163,1584,
10000137.jpg _P1,82,72,1162,72,82,1583,1162,1583,
10000138.jpg _P1,82,71,1163,72,83,1583,1164,1584,
10000139.jpg _P1,81,71,1162,71,82,1582,1162,1584,
10000140.jpg _P1,83,72,1163,72,83,1582,1163,1584,
10000141.jpg _P1,82,72,1162,72,82,1583,1162,1583,
10000142.jpg _P1,83,71,1163,71,84,1583,1163,1583,
10000143.jpg _P1,81,70,1161,72,81,1581,1161,1582,
10000144.jpg _P1,82,71,1162,72,83,1583,1163,1582,
10000145.jpg _P1,81,71,1161,72,82,1583,1162,1583,
10000146.jpg _P1,82,71,1162,71,83,1583,1163,1583,
10000147.jpg _P1,81,70,1161,70,82,1581,1162,1581,
10000148.jpg _P1,82,71,1162,71,84,1583,1163,1582,
10000149.jpg _P1,81,71,1161,71,82,1582,1162,1582,
10000150.jpg _P1,84,71,1164,72,84,1583,1164,1584,
10000151.jpg _P1,81,72,1161,72,82,1583,1162,1583,
10000152.jpg _P1,82,72,1162,72,83,1583,1163,1583,
10000153.jpg _P1,81,72,1161,73,81,1584,1162,1584,
10000154.jpg _P1,83,72,1163,72,83,1584,1163,1583,
10000155.jpg _P1,82,72,1162,73,81,1583,1162,1584,
10000156.jpg _P1,83,72,1162,73,83,1583,1163,1584,
10000157.jpg _P1,83,72,1162,73,81,1583,1162,1585,
10000158.jpg _P1,83,71,1163,72,83,1583,1163,1583,
10000159.jpg _P1,81,72,1161,72,83,1583,1163,1583,
10000160.jpg _P1,83,71,1163,72,83,1584,1163,1583,
10000161.jpg _P1,81,71,1161,71,82,1582,1162,1581,
10000162.jpg _P1,83,71,1163,71,83,1583,1164,1582,
10000163.jpg _P1,81,72,1162,71,83,1583,1163,1583,
10000164.jpg _P1,83,72,1163,73,82,1584,1162,1583,
10000165.jpg _P1,82.19672,70.83607,1163,72,82,1582,1163,1583,
10000166.jpg _P1,82,71,1163,72,83,1583,1163,1583,
10000167.jpg _P1,81,71,1161,71,82,1583,1162,1583,
10000168.jpg _P1,83,72,1163,72,85,1584,1164,1583,
10000169.jpg _P1,82,71,1162,72,83,1582,1163,1582,
10000170.jpg _P1,83,71,1163,71,84,1583,1164,1583,
10000171.jpg _P1,81,71,1161,72,83,1583,1162,1583,
10000172.jpg _P1,82,72,1162,71,84,1583,1164,1582,
10000173.jpg _P1,82,72,1162,72,82,1583,1162,1583,
10000174.jpg _P1,82,71,1162,71,84,1583,1164,1582,
10000175.jpg _P1,82,71,1162,72,82,1583,1162,1582,
10000176.jpg _P1,83,71,1163,72,83,1584,1164,1583,
10000177.jpg _P1,83,71,1164,71,83,1582,1164,1583,
10000178.jpg _P1,82,71,1162,72,83,1583,1164,1583,
10000179.jpg _P1,80,72,1161,72,82,1583,1161,1584,
10000180.jpg _P1,83,72,1162,72,83,1582,1163,1584,
10000181.jpg _P1,81,72,1161,72,82,1583,1162,1583,
10000182.jpg _P1,83,71,1163,72,84,1584,1164,1582,
10000183.jpg _P1,81,71,1161,71,82,1582,1162,1582,
10000184.jpg _P1,83,72,1163,72,83,1584,1164,1584,
10000185.jpg _P1,81,72,1161,71,83,1583,1163,1584,
10000186.jpg _P1,83,72,1163,72,84,1584,1164,1584,
10000187.jpg _P1,81,71,1161,71,82,1581,1162,1582,
10000188.jpg _P1,82,72,1162,71,83,1583,1164,1583,
