卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
100001015889_#2.jpg _P4,1694,109,3162,112,1686,2253,3150,2257,
100001025884_#2.jpg _P4,1693,108,3163,112,1686,2253,3149,2257,
100001035879_#2.jpg _P4,1694,103,3163,104,1690,2248,3153,2250,
100001045874_#2.jpg _P4,1696,105,3163,104,1693,2249,3158,2249,
100001055869_#2.jpg _P4,1694,104,3161,105,1690,2249,3154,2251,
100001065864_#2.jpg _P4,1694,104,3162,104,1692,2248,3156,2249,
100001075859_#2.jpg _P4,1694,104,3161,104,1690,2249,3153,2250,
100001085854_#2.jpg _P4,1694,103,3160,103,1691,2249,3155,2249,
100001095849_#2.jpg _P4,1694,103,3161,105,1689,2249,3153,2251,
100001105887_#2.jpg _P4,1695,103,3161,103,1691,2249,3155,2249,
100001115882_#2.jpg _P4,1693,108,3160,111,1687,2254,3150,2256,
100001125877_#2.jpg _P4,1693,109,3160,112,1686,2254,3149,2257,
100001135872_#2.jpg _P4,1696,108,3162,111,1690,2254,3154,2256,
100001145867_#2.jpg _P4,1695,109,3161,112,1688,2255,3151,2257,
100001155862_#2.jpg _P4,1695,109,3162,112,1688,2255,3150,2258,
100001165857_#2.jpg _P4,1694,108,3161,111,1688,2254,3150,2256,
100001175852_#2.jpg _P4,1696,108,3163,112,1689,2253,3151,2257,
100001185847_#2.jpg _P4,1696,107,3163,111,1689,2253,3152,2256,
100001195842_#2.jpg _P4,1696,108,3163,111,1689,2254,3152,2256,
100001205880_#2.jpg _P4,1695,107,3161,110,1689,2253,3152,2255,
100001215875_#2.jpg _P4,1695,107,3162,111,1688,2253,3151,2256,
100001225870_#2.jpg _P4,1695,108,3162,111,1689,2253,3153,2255,
100001235865_#2.jpg _P4,1697,109,3164,111,1691,2253,3155,2256,
100001245860_#2.jpg _P4,1696,109,3162,110,1691,2254,3154,2256,
100001255855_#2.jpg _P4,1694,109,3161,112,1688,2254,3151,2257,
100001265850_#2.jpg _P4,1697,108,3163,111,1691,2253,3153,2256,
100001275845_#2.jpg _P4,1693,108,3159,111,1686,2254,3148,2256,
100001285840_#2.jpg _P4,1694,109,3161,112,1687,2254,3149,2258,
100001295835_#2.jpg _P4,1695,109,3161,111,1688,2254,3151,2257,
100001305873_#2.jpg _P4,1695,109,3161,111,1689,2254,3152,2257,
100001315868_#2.jpg _P4,1695,109,3161,111,1689,2254,3152,2256,
100001325863_#2.jpg _P4,1694,108,3160,111,1688,2254,3151,2257,
100001335858_#2.jpg _P4,1696,108,3161,111,1689,2254,3152,2257,
100001345853_#2.jpg _P4,1694,108,3160,111,1688,2255,3151,2257,
100001355848_#2.jpg _P4,1694,108,3160,112,1687,2254,3149,2257,
100001365843_#2.jpg _P4,1694,106,3160,108,1689,2252,3153,2253,
