卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
100003165835_#2.jpg _P3,150,106,1614,108,147,2253,1609,2254,
100003175830_#2.jpg _P3,154,106,1617,107,152,2252,1614,2252,
100003185825_#2.jpg _P3,151,107,1615,109,146,2252,1609,2254,
100003195820_#2.jpg _P3,152,106,1615,108,147,2252,1610,2254,
100003205858_#2.jpg _P3,153,107,1616,109,149,2253,1612,2254,
100003215853_#2.jpg _P3,152,107,1616,109,148,2253,1610,2254,
100003225848_#2.jpg _P3,153,107,1617,109,148,2252,1610,2254,
100003235843_#2.jpg _P3,153,106,1617,109,148,2252,1610,2254,
100003245838_#2.jpg _P3,154,106,1617,109,148,2252,1610,2254,
100003255833_#2.jpg _P3,153,106,1617,109,148,2253,1610,2255,
100003265828_#2.jpg _P3,153,105,1616,109,148,2252,1610,2254,
100003275823_#2.jpg _P3,155,105,1618,108,149,2251,1612,2253,
100003285818_#2.jpg _P3,152,106,1617,108,146,2252,1610,2254,
100003295813_#2.jpg _P3,151,106,1614,108,145,2251,1607,2254,
100003305851_#2.jpg _P3,154,106,1617,109,149,2252,1612,2254,
100003315846_#2.jpg _P3,154,105,1617,108,147,2251,1610,2254,
100003325841_#2.jpg _P3,152,105,1616,108,146,2251,1608,2254,
100003335836_#2.jpg _P3,153,106,1616,109,147,2252,1609,2254,
100003345831_#2.jpg _P3,153,106,1617,108,148,2252,1611,2254,
100003355826_#2.jpg _P3,154,107,1617,109,148,2253,1611,2255,
100003365821_#2.jpg _P3,154,105,1618,108,148,2252,1610,2254,
100004015856_#2.jpg _P3,155,107,1619,108,153,2252,1615,2253,
100004025851_#2.jpg _P3,153,106,1617,110,146,2252,1609,2254,
100004035846_#2.jpg _P3,152,105,1617,108,147,2251,1610,2253,
100004045841_#2.jpg _P3,154,106,1618,110,149,2253,1611,2254,
100004055836_#2.jpg _P3,154,106,1618,109,149,2252,1612,2254,
100004065831_#2.jpg _P3,152,106,1616,108,147,2252,1609,2254,
100004075826_#2.jpg _P3,154,106,1618,109,150,2252,1612,2253,
100004085821_#2.jpg _P3,154,107,1618,109,147,2253,1611,2255,
100004095816_#2.jpg _P3,152,106,1616,110,147,2253,1610,2254,
100004105854_#2.jpg _P3,154,106,1617,109,147,2252,1610,2255,
100004115849_#2.jpg _P3,155,105,1618,107,149,2251,1612,2253,
100004125844_#2.jpg _P3,154,105,1618,108,148,2251,1611,2253,
100004135839_#2.jpg _P3,153,105,1617,108,147,2251,1610,2254,
100004145834_#2.jpg _P3,153,106,1617,108,149,2251,1611,2253,
100004155829_#2.jpg _P3,155,106,1619,109,149,2252,1612,2254,
100004165824_#2.jpg _P3,154,103,1618,107,148,2250,1611,2252,
100004175819_#2.jpg _P3,152,106,1616,108,147,2252,1609,2255,
100004185814_#2.jpg _P3,155,107,1619,109,150,2253,1613,2255,
100004195809_#2.jpg _P3,151,106,1616,108,148,2252,1610,2254,
100004205847_#2.jpg _P3,153,107,1617,109,149,2253,1611,2255,
100004215842_#2.jpg _P3,155,106,1619,108,150,2252,1612,2254,
100004225837_#2.jpg _P3,152,106,1616,108,148,2253,1610,2254,
100004235832_#2.jpg _P3,155,107,1618,109,151,2253,1613,2254,
100004245827_#2.jpg _P3,152,105,1617,108,147,2251,1609,2253,
100004255822_#2.jpg _P3,153,103,1616,106,147,2250,1609,2252,
100004265817_#2.jpg _P3,154,105,1617,107,150,2252,1612,2253,
100004275812_#2.jpg _P3,152,107,1617,110,148,2253,1611,2255,
100004285807_#2.jpg _P3,152,105,1616,107,148,2251,1610,2253,
100004295802_#2.jpg _P3,153,105,1617,108,148,2252,1610,2254,
100004305840_#2.jpg _P3,153,105,1617,107,149,2252,1611,2253,
100004315835_#2.jpg _P3,153,106,1617,109,148,2252,1610,2254,
100004325830_#2.jpg _P3,150,105,1614,101,154,2252,1616,2248,
100004335825_#2.jpg _P3,152,102,1616,101,153,2249,1615,2248,
100004345820_#2.jpg _P3,155,104,1619,102,157,2252,1619,2249,
100004355815_#2.jpg _P3,153,101,1618,99,155,2249,1618,2246,
100004365810_#2.jpg _P3,152,104,1616,102,153,2252,1616,2249,
100005015845_#2.jpg _P3,151,104,1615,102,152,2251,1614,2250,
100005025840_#2.jpg _P3,154,104,1618,101,156,2252,1618,2249,
100005035835_#2.jpg _P3,152,105,1617,103,153,2252,1616,2250,
100005045830_#2.jpg _P3,154,103,1618,101,155,2251,1617,2248,
100005055825_#2.jpg _P3,153,104,1617,101,155,2252,1617,2249,
100005065820_#2.jpg _P3,154,103,1618,102,154,2251,1616,2250,
100005075815_#2.jpg _P3,155,102,1619,101,155,2250,1618,2248,
100005085810_#2.jpg _P3,151,105,1616,103,153,2253,1615,2251,
100005095805_#2.jpg _P3,152,104,1617,102,153,2252,1617,2249,
100005105843_#2.jpg _P3,154,102,1617,101,155,2250,1617,2248,
