卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,右高-左高,,列標籤,計數 - 上寬-下寬
10000052.jpg _P1,1080,1511.000331,1511.000331,1080,10000052.jpg _P1,1080,1511,1511,1080,0,0,,,
10000053.jpg _P1,1081,1510.000331,1511.001324,1080.000463,10000053.jpg _P1,1081,1510,1511,1080,1,-1,,,
10000054.jpg _P1,1080.000463,1511,1511,1080.000463,10000054.jpg _P1,1080,1511,1511,1080,0,0,,,
10000055.jpg _P1,1081.000463,1511.001324,1511.002978,1080.000463,10000055.jpg _P1,1081,1511,1511,1080,1,0,,,
10000056.jpg _P1,1080,1511.000331,1512.000331,1080.000463,10000056.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000057.jpg _P1,1081,1512.000331,1511.000331,1081.000463,10000057.jpg _P1,1081,1512,1511,1081,0,1,,,
10000058.jpg _P1,1080.000463,1511,1511,1080.000463,10000058.jpg _P1,1080,1511,1511,1080,0,0,,,
10000059.jpg _P1,1081,1510.000331,1510.001325,1080,10000059.jpg _P1,1081,1510,1510,1080,1,0,,,
10000060.jpg _P1,1081,1511,1511.000331,1080,10000060.jpg _P1,1081,1511,1511,1080,1,0,,,
10000061.jpg _P1,1080,1511,1511,1080,10000061.jpg _P1,1080,1511,1511,1080,0,0,,,
10000062.jpg _P1,1081.000463,1511.000331,1512,1080,10000062.jpg _P1,1081,1511,1512,1080,1,-1,,,
10000063.jpg _P1,1080.000463,1511.000331,1511.000331,1080.000463,10000063.jpg _P1,1080,1511,1511,1080,0,0,,,
10000064.jpg _P1,1081.000463,1511.000331,1511,1080.000463,10000064.jpg _P1,1081,1511,1511,1080,1,0,,,
10000065.jpg _P1,1081.000463,1511.000331,1511,1080.000463,10000065.jpg _P1,1081,1511,1511,1080,1,0,,,
10000066.jpg _P1,1080.000463,1510,1511,1080,10000066.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000067.jpg _P1,1081.000463,1511.000331,1511,1080.000463,10000067.jpg _P1,1081,1511,1511,1080,1,0,,,
10000068.jpg _P1,1080.000463,1510.000331,1510.000331,1080.000463,10000068.jpg _P1,1080,1510,1510,1080,0,0,,,
10000069.jpg _P1,1081,1509,1511.000331,1080.001852,10000069.jpg _P1,1081,1509,1511,1080,1,-2,,,
10000070.jpg _P1,1080.000463,1511.000331,1512.000331,1080,10000070.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000071.jpg _P1,1081.000463,1509,1509.000331,1080.000463,10000071.jpg _P1,1081,1509,1509,1080,1,0,,,
10000072.jpg _P1,1080,1512,1510.000331,1079.001854,10000072.jpg _P1,1080,1512,1510,1079,1,2,,,
10000073.jpg _P1,1081.000463,1511,1513,1081.000463,10000073.jpg _P1,1081,1511,1513,1081,0,-2,,,
10000074.jpg _P1,1081.00185,1511.001324,1512.000331,1080.000463,10000074.jpg _P1,1081,1511,1512,1080,1,-1,,,
10000075.jpg _P1,1081.00185,1510,1512,1081,10000075.jpg _P1,1081,1510,1512,1081,0,-2,,,
10000076.jpg _P1,1081.000463,1511.000331,1511,1080.000463,10000076.jpg _P1,1081,1511,1511,1080,1,0,,,
10000077.jpg _P1,1081.000463,1511,1511,1081.000463,10000077.jpg _P1,1081,1511,1511,1081,0,0,,,
10000078.jpg _P1,1080.000463,1511,1511,1080.000463,10000078.jpg _P1,1080,1511,1511,1080,0,0,,,
10000079.jpg _P1,1081,1511,1511,1081,10000079.jpg _P1,1081,1511,1511,1081,0,0,,,
10000080.jpg _P1,1081,1511,1511.000331,1080,10000080.jpg _P1,1081,1511,1511,1080,1,0,,,
10000081.jpg _P1,1080.001852,1510.000331,1512.000331,1080,10000081.jpg _P1,1080,1510,1512,1080,0,-2,,,
10000082.jpg _P1,1082.000462,1511.000331,1512.000331,1080,10000082.jpg _P1,1082,1511,1512,1080,2,-1,,,
10000083.jpg _P1,1080.000463,1512,1511,1080.001852,10000083.jpg _P1,1080,1512,1511,1080,0,1,,,
10000084.jpg _P1,1080,1511,1510,1080.000463,10000084.jpg _P1,1080,1511,1510,1080,0,1,,,
10000085.jpg _P1,1080,1510.000331,1510.000331,1080,10000085.jpg _P1,1080,1510,1510,1080,0,0,,,
10000086.jpg _P1,1081.000463,1512.000331,1512,1080.000463,10000086.jpg _P1,1081,1512,1512,1080,1,0,,,
10000087.jpg _P1,1081.000463,1511.000331,1511,1080.000463,10000087.jpg _P1,1081,1511,1511,1080,1,0,,,
10000088.jpg _P1,1080,1511,1512,1080.000463,10000088.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000089.jpg _P1,1080.000463,1512,1512,1080.000463,10000089.jpg _P1,1080,1512,1512,1080,0,0,,,
10000090.jpg _P1,1080.000463,1511,1511,1080.000463,10000090.jpg _P1,1080,1511,1511,1080,0,0,,,
10000091.jpg _P1,1081.000463,1511.000331,1511,1080.000463,10000091.jpg _P1,1081,1511,1511,1080,1,0,,,
10000092.jpg _P1,1080.000463,1511,1512,1080,10000092.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000093.jpg _P1,1080,1512,1511,1080.000463,10000093.jpg _P1,1080,1512,1511,1080,0,1,,,
10000094.jpg _P1,1080.000463,1510,1511,1080,10000094.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000095.jpg _P1,1080,1511.000331,1511.000331,1080,10000095.jpg _P1,1080,1511,1511,1080,0,0,,,
10000096.jpg _P1,1081,1512,1512.000331,1080,10000096.jpg _P1,1081,1512,1512,1080,1,0,,,
10000097.jpg _P1,1081,1511.000331,1511.001324,1080,10000097.jpg _P1,1081,1511,1511,1080,1,0,,,
10000098.jpg _P1,1080.000463,1511.000331,1512.000331,1080,10000098.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000099.jpg _P1,1081.000463,1509.000331,1510,1080,10000099.jpg _P1,1081,1509,1510,1080,1,-1,,,
10000100.jpg _P1,1080.000463,1511.000331,1512.000331,1080,10000100.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000101.jpg _P1,1080.000463,1511,1511.000331,1081.000463,10000101.jpg _P1,1080,1511,1511,1081,-1,0,,,
10000102.jpg _P1,1081.000463,1509.000331,1510,1080,10000102.jpg _P1,1081,1509,1510,1080,1,-1,,,
10000103.jpg _P1,1081.000463,1510,1511,1081,10000103.jpg _P1,1081,1510,1511,1081,0,-1,,,
10000104.jpg _P1,1081.000463,1512.000331,1511,1080.001852,10000104.jpg _P1,1081,1512,1511,1080,1,1,,,
10000105.jpg _P1,1081.000463,1511,1511,1081.000463,10000105.jpg _P1,1081,1511,1511,1081,0,0,,,
10000106.jpg _P1,1081,1511,1512.000331,1080.000463,10000106.jpg _P1,1081,1511,1512,1080,1,-1,,,
10000107.jpg _P1,1080.000463,1510,1511,1080,10000107.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000108.jpg _P1,1081,1511.000331,1511.001324,1080,10000108.jpg _P1,1081,1511,1511,1080,1,0,,,
10000109.jpg _P1,1080.001852,1510.000331,1511.000331,1080.000463,10000109.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000110.jpg _P1,1080,1510.000331,1511.001324,1079.000463,10000110.jpg _P1,1080,1510,1511,1079,1,-1,,,
10000111.jpg _P1,1080,1511.001324,1511.001324,1080,10000111.jpg _P1,1080,1511,1511,1080,0,0,,,
10000112.jpg _P1,1080.000463,1511,1512,1080,10000112.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000113.jpg _P1,1081.000463,1510,1511,1081,10000113.jpg _P1,1081,1510,1511,1081,0,-1,,,
10000114.jpg _P1,1080.000463,1511,1511,1080.000463,10000114.jpg _P1,1080,1511,1511,1080,0,0,,,
10000115.jpg _P1,1080,1512.000331,1512.000331,1080,10000115.jpg _P1,1080,1512,1512,1080,0,0,,,
10000116.jpg _P1,1081,1511,1511.000331,1080,10000116.jpg _P1,1081,1511,1511,1080,1,0,,,
10000117.jpg _P1,1080.001852,1511,1512.000331,1081.000463,10000117.jpg _P1,1080,1511,1512,1081,-1,-1,,,
10000118.jpg _P1,1080.000463,1511.000331,1513.00033,1080.000463,10000118.jpg _P1,1080,1511,1513,1080,0,-2,,,
10000119.jpg _P1,1081,1512,1512,1081,10000119.jpg _P1,1081,1512,1512,1081,0,0,,,
10000120.jpg _P1,1080.000463,1511,1512.000331,1081,10000120.jpg _P1,1080,1511,1512,1081,-1,-1,,,
10000121.jpg _P1,1080,1511.000331,1511.000331,1080,10000121.jpg _P1,1080,1511,1511,1080,0,0,,,
10000122.jpg _P1,1081,1510,1510.001325,1079,10000122.jpg _P1,1081,1510,1510,1079,2,0,,,
10000123.jpg _P1,1080.000463,1511.000331,1512,1081,10000123.jpg _P1,1080,1511,1512,1081,-1,-1,,,
10000124.jpg _P1,1080.000463,1512.000331,1513.00033,1080,10000124.jpg _P1,1080,1512,1513,1080,0,-1,,,
10000125.jpg _P1,1080,1511.000331,1511.000331,1080,10000125.jpg _P1,1080,1511,1511,1080,0,0,,,
10000126.jpg _P1,1080,1512.000331,1511.000331,1080.000463,10000126.jpg _P1,1080,1512,1511,1080,0,1,,,
10000127.jpg _P1,1080,1512.000331,1513.00033,1080.000463,10000127.jpg _P1,1080,1512,1513,1080,0,-1,,,
10000128.jpg _P1,1080,1510.000331,1511.000331,1080.000463,10000128.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000129.jpg _P1,1080,1511.000331,1511.000331,1080,10000129.jpg _P1,1080,1511,1511,1080,0,0,,,
10000130.jpg _P1,1080,1511.001324,1511.001324,1080,10000130.jpg _P1,1080,1511,1511,1080,0,0,,,
10000131.jpg _P1,1080,1511.000331,1511.000331,1080,10000131.jpg _P1,1080,1511,1511,1080,0,0,,,
10000132.jpg _P1,1080,1511.000331,1511.000331,1080,10000132.jpg _P1,1080,1511,1511,1080,0,0,,,
10000133.jpg _P1,1081.000463,1511.000331,1512.000331,1079,10000133.jpg _P1,1081,1511,1512,1079,2,-1,,,
10000134.jpg _P1,1081.000463,1511.000331,1512,1080,10000134.jpg _P1,1081,1511,1512,1080,1,-1,,,
10000135.jpg _P1,1080,1512.001323,1511.000331,1081.000463,10000135.jpg _P1,1080,1512,1511,1081,-1,1,,,
10000136.jpg _P1,1080,1512.000331,1512.000331,1080,10000136.jpg _P1,1080,1512,1512,1080,0,0,,,
10000137.jpg _P1,1080,1511,1511,1080,10000137.jpg _P1,1080,1511,1511,1080,0,0,,,
10000138.jpg _P1,1081.000463,1512.000331,1512.000331,1081.000463,10000138.jpg _P1,1081,1512,1512,1081,0,0,,,
10000139.jpg _P1,1081,1513,1511.000331,1080.001852,10000139.jpg _P1,1081,1513,1511,1080,1,2,,,
10000140.jpg _P1,1080,1512,1510,1080.001852,10000140.jpg _P1,1080,1512,1510,1080,0,2,,,
10000141.jpg _P1,1080,1511,1511,1080,10000141.jpg _P1,1080,1511,1511,1080,0,0,,,
10000142.jpg _P1,1080,1512,1512.000331,1079,10000142.jpg _P1,1080,1512,1512,1079,1,0,,,
10000143.jpg _P1,1080.001852,1510,1511,1080.000463,10000143.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000144.jpg _P1,1080.000463,1510.000331,1512.000331,1080.000463,10000144.jpg _P1,1080,1510,1512,1080,0,-2,,,
10000145.jpg _P1,1080.000463,1511.000331,1512.000331,1080,10000145.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000146.jpg _P1,1080,1512.000331,1512.000331,1080,10000146.jpg _P1,1080,1512,1512,1080,0,0,,,
10000147.jpg _P1,1080,1511.000331,1511.000331,1080,10000147.jpg _P1,1080,1511,1511,1080,0,0,,,
10000148.jpg _P1,1080,1511.000331,1512.001323,1079.000463,10000148.jpg _P1,1080,1511,1512,1079,1,-1,,,
10000149.jpg _P1,1080,1511.000331,1511.000331,1080,10000149.jpg _P1,1080,1511,1511,1080,0,0,,,
10000150.jpg _P1,1080.000463,1512,1512,1080.000463,10000150.jpg _P1,1080,1512,1512,1080,0,0,,,
10000151.jpg _P1,1080,1511.000331,1511.000331,1080,10000151.jpg _P1,1080,1511,1511,1080,0,0,,,
10000152.jpg _P1,1080,1511.000331,1511.000331,1080,10000152.jpg _P1,1080,1511,1511,1080,0,0,,,
10000153.jpg _P1,1080.000463,1511.000331,1512,1081,10000153.jpg _P1,1080,1511,1512,1081,-1,-1,,,
10000154.jpg _P1,1080,1511,1512,1080.000463,10000154.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000155.jpg _P1,1080.000463,1511,1511.000331,1081.000463,10000155.jpg _P1,1080,1511,1511,1081,-1,0,,,
10000156.jpg _P1,1079.000463,1511.000331,1511,1080.000463,10000156.jpg _P1,1079,1511,1511,1080,-1,0,,,
10000157.jpg _P1,1079.000463,1512,1511.001324,1081.00185,10000157.jpg _P1,1079,1512,1511,1081,-2,1,,,
10000158.jpg _P1,1080.000463,1511,1512,1080,10000158.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000159.jpg _P1,1080,1511.001324,1511.001324,1080,10000159.jpg _P1,1080,1511,1511,1080,0,0,,,
10000160.jpg _P1,1080.000463,1511,1513,1080.000463,10000160.jpg _P1,1080,1511,1513,1080,0,-2,,,
10000161.jpg _P1,1080,1510.000331,1511.000331,1080.000463,10000161.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000162.jpg _P1,1080,1511.000331,1512,1081.000463,10000162.jpg _P1,1080,1511,1512,1081,-1,-1,,,
10000163.jpg _P1,1081.000463,1512.000331,1511.001324,1080,10000163.jpg _P1,1081,1512,1511,1080,1,1,,,
10000164.jpg _P1,1080.000463,1510.000331,1512.000331,1080.000463,10000164.jpg _P1,1080,1510,1512,1080,0,-2,,,
10000165.jpg _P1,1080.803903,1511,1511.163946,1081.000463,10000165.jpg _P1,1081,1511,1511,1081,0,0,,,
10000166.jpg _P1,1081.000463,1511,1512.000331,1080,10000166.jpg _P1,1081,1511,1512,1080,1,-1,,,
10000167.jpg _P1,1080,1512.000331,1512.000331,1080,10000167.jpg _P1,1080,1512,1512,1080,0,0,,,
10000168.jpg _P1,1080,1511.000331,1512.001323,1079.000463,10000168.jpg _P1,1080,1511,1512,1079,1,-1,,,
10000169.jpg _P1,1080.000463,1510.000331,1511.000331,1080,10000169.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000170.jpg _P1,1080,1512.000331,1512.000331,1080,10000170.jpg _P1,1080,1512,1512,1080,0,0,,,
10000171.jpg _P1,1080.000463,1511.000331,1512.001323,1079,10000171.jpg _P1,1080,1511,1512,1079,1,-1,,,
10000172.jpg _P1,1080.000463,1511.001324,1511.001324,1080.000463,10000172.jpg _P1,1080,1511,1511,1080,0,0,,,
10000173.jpg _P1,1080,1511,1511,1080,10000173.jpg _P1,1080,1511,1511,1080,0,0,,,
10000174.jpg _P1,1080,1511.001324,1512.001323,1080.000463,10000174.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000175.jpg _P1,1080.000463,1510,1512,1080.000463,10000175.jpg _P1,1080,1510,1512,1080,0,-2,,,
10000176.jpg _P1,1080.000463,1511.000331,1513,1081.000463,10000176.jpg _P1,1080,1511,1513,1081,-1,-2,,,
10000177.jpg _P1,1081,1512,1511,1081.000463,10000177.jpg _P1,1081,1512,1511,1081,0,1,,,
10000178.jpg _P1,1080.000463,1511.001324,1512.000331,1081,10000178.jpg _P1,1080,1511,1512,1081,-1,-1,,,
10000179.jpg _P1,1081,1512,1511.001324,1079.000463,10000179.jpg _P1,1081,1512,1511,1079,2,1,,,
10000180.jpg _P1,1079,1512.000331,1510,1080.001852,10000180.jpg _P1,1079,1512,1510,1080,-1,2,,,
10000181.jpg _P1,1080,1511.000331,1511.000331,1080,10000181.jpg _P1,1080,1511,1511,1080,0,0,,,
10000182.jpg _P1,1080.000463,1510.000331,1513.00033,1080.001852,10000182.jpg _P1,1080,1510,1513,1080,0,-3,,,
10000183.jpg _P1,1080,1511.000331,1511.000331,1080,10000183.jpg _P1,1080,1511,1511,1080,0,0,,,
10000184.jpg _P1,1080,1512.000331,1512,1081,10000184.jpg _P1,1080,1512,1512,1081,-1,0,,,
10000185.jpg _P1,1080.000463,1513.001322,1511.001324,1080.000463,10000185.jpg _P1,1080,1513,1511,1080,0,2,,,
10000186.jpg _P1,1080,1512.000331,1512.000331,1080,10000186.jpg _P1,1080,1512,1512,1080,0,0,,,
10000187.jpg _P1,1080,1511.000331,1510.000331,1080.000463,10000187.jpg _P1,1080,1511,1510,1080,0,1,,,
10000188.jpg _P1,1080.000463,1512.001323,1511.000331,1081,10000188.jpg _P1,1080,1512,1511,1081,-1,1,,,
10000189.jpg _P1,1080.000463,1511.002978,1511.001324,1081.000463,10000189.jpg _P1,1080,1511,1511,1081,-1,0,,,
10000190.jpg _P1,1080,1511.000331,1512.000331,1080.000463,10000190.jpg _P1,1080,1511,1512,1080,0,-1,,,
10000191.jpg _P1,1080,1511.001324,1510.000331,1081.000463,10000191.jpg _P1,1080,1511,1510,1081,-1,1,,,
10000192.jpg _P1,1080,1512.001323,1511.001324,1080.000463,10000192.jpg _P1,1080,1512,1511,1080,0,1,,,
10000193.jpg _P1,1080,1511.000331,1511.000331,1080,10000193.jpg _P1,1080,1511,1511,1080,0,0,,,
10000194.jpg _P1,1080,1511.000331,1511.000331,1080,10000194.jpg _P1,1080,1511,1511,1080,0,0,,,
10000195.jpg _P1,1081,1513,1511.000331,1080.001852,10000195.jpg _P1,1081,1513,1511,1080,1,2,,,
10000196.jpg _P1,1080.000463,1512.001323,1511.001324,1080,10000196.jpg _P1,1080,1512,1511,1080,0,1,,,
10000197.jpg _P1,1080.000463,1510,1511,1080,10000197.jpg _P1,1080,1510,1511,1080,0,-1,,,
10000198.jpg _P1,1080,1512.000331,1512.000331,1080,10000198.jpg _P1,1080,1512,1512,1080,0,0,,,
10000199.jpg _P1,1080.000463,1511,1512,1080,10000199.jpg _P1,1080,1511,1512,1080,0,-1,,,
