卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
100001015889_#1.jpg _P1,151,102,1615,98,157,2246,1619,2248,
100001025884_#1.jpg _P1,151,100,1617,98,157,2247,1620,2247,
100001035879_#1.jpg _P1,157,99,1622,99,158,2246,1621,2248,
100001045874_#1.jpg _P1,158,99,1622,100,157,2247,1621,2250,
100001055869_#1.jpg _P1,158,100,1621,101,158,2247,1621,2251,
100001065864_#1.jpg _P1,158,99,1622,100,158,2247,1621,2249,
100001075859_#1.jpg _P1,159,98,1622,99,159,2246,1622,2248,
100001085854_#1.jpg _P1,158,99,1620,100,158,2247,1620,2250,
100001095849_#1.jpg _P1,159,100,1621,101,159,2248,1622,2250,
100001105887_#1.jpg _P1,157,100,1620,101,157,2248,1620,2250,
100001115882_#1.jpg _P1,156,100,1619,99,159,2246,1622,2247,
100001125877_#1.jpg _P1,155,99,1618,98,158,2246,1621,2246,
100001135872_#1.jpg _P1,155,100,1618,98,158,2246,1621,2247,
100001145867_#1.jpg _P1,154,99,1616,98,157,2246,1619,2247,
100001155862_#1.jpg _P1,154,98,1617,97,158,2245,1620,2245,
100001165857_#1.jpg _P1,153,99,1617,98,156,2246,1619,2246,
100001175852_#1.jpg _P1,155,98,1618,97,159,2245,1620,2246,
100001185847_#1.jpg _P1,153,100,1616,98,157,2247,1619,2247,
100001195842_#1.jpg _P1,153,101,1616,99,157,2247,1619,2248,
100001205880_#1.jpg _P1,153,100,1616,99,157,2246,1619,2247,
100001215875_#1.jpg _P1,154,101,1617,100,157,2247,1620,2248,
100001225870_#1.jpg _P1,154,101,1617,99,158,2248,1620,2248,
100001235865_#1.jpg _P1,155,101,1618,99,158,2247,1622,2248,
100001245860_#1.jpg _P1,155,100,1618,98,158,2247,1621,2247,
100001255855_#1.jpg _P1,157,98,1619,97,159,2244,1622,2246,
100001265850_#1.jpg _P1,155,100,1618,98,158,2246,1620,2247,
100001275845_#1.jpg _P1,153,99,1616,98,156,2246,1618,2247,
100001285840_#1.jpg _P1,156,99,1620,97,160,2245,1622,2247,
100001295835_#1.jpg _P1,154,101,1616,99,157,2247,1619,2248,
100001305873_#1.jpg _P1,157,99,1619,98,158,2245,1621,2247,
100001315868_#1.jpg _P1,156,100,1618,98,158,2245,1620,2248,
100001325863_#1.jpg _P1,155,101,1617,100,157,2249,1619,2250,
100001335858_#1.jpg _P1,157,99,1620,98,159,2245,1622,2248,
100001345853_#1.jpg _P1,151,101,1614,99,156,2247,1619,2247,
100001355848_#1.jpg _P1,155,101,1618,99,158,2247,1621,2248,
100001365843_#1.jpg _P1,152,101,1616,99,157,2248,1620,2248,
100002015878_#1.jpg _P1,154,100,1616,98,158,2247,1619,2247,
100002025873_#1.jpg _P1,155,100,1617,98,157,2246,1620,2247,
100002035868_#1.jpg _P1,157,103,1621,105,155,2250,1617,2255,
100002045863_#1.jpg _P1,158,100,1620,104,153,2248,1615,2253,
100002055858_#1.jpg _P1,158,102,1620,105,155,2250,1616,2254,
100002065853_#1.jpg _P1,156,102,1619,104,155,2250,1617,2253,
100002075848_#1.jpg _P1,157,103,1620,104,157,2251,1619,2253,
100002085843_#1.jpg _P1,157,102,1620,103,156,2249,1618,2252,
100002095838_#1.jpg _P1,157,103,1620,104,157,2251,1619,2253,
100002105876_#1.jpg _P1,158,102,1621,104,154,2250,1617,2254,
100002115871_#1.jpg _P1,159,102,1621,103,158,2250,1619,2253,
100002125866_#1.jpg _P1,159,102,1622,103,158,2250,1620,2253,
100002135861_#1.jpg _P1,158,101,1621,104,155,2249,1617,2254,
100002145856_#1.jpg _P1,158,102,1621,103,158,2250,1619,2253,
100002155851_#1.jpg _P1,156,103,1619,105,154,2251,1616,2254,
100002165846_#1.jpg _P1,157,100,1620,104,152,2247,1615,2253,
100002175841_#1.jpg _P1,157,102,1620,104,155,2250,1618,2254,
100002185836_#1.jpg _P1,158,102,1621,104,156,2250,1619,2253,
100002195831_#1.jpg _P1,156,103,1620,105,155,2251,1617,2254,
100002205869_#1.jpg _P1,157,103,1620,104,157,2251,1619,2253,
100002215864_#1.jpg _P1,157,101,1619,104,153,2249,1615,2253,
100002225859_#1.jpg _P1,157,102,1620,105,155,2251,1617,2255,
100002235854_#1.jpg _P1,158,102,1620,105,154,2249,1617,2254,
100002245849_#1.jpg _P1,156,102,1619,104,155,2250,1617,2253,
100002255844_#1.jpg _P1,158,103,1620,104,155,2251,1618,2254,
100002265839_#1.jpg _P1,157,102,1620,104,155,2250,1618,2253,
100002275834_#1.jpg _P1,156,104,1619,105,155,2252,1618,2254,
100002285829_#1.jpg _P1,154,98,1617,96,157,2245,1620,2245,
100002295824_#1.jpg _P1,157,101,1619,99,159,2246,1621,2248,
100002305862_#1.jpg _P1,158,103,1621,103,158,2251,1620,2253,
100002315857_#1.jpg _P1,156,104,1618,106,155,2252,1616,2255,
100002325852_#1.jpg _P1,157,103,1619,104,157,2251,1619,2253,
100002335847_#1.jpg _P1,157,100,1619,102,155,2248,1618,2251,
100002345842_#1.jpg _P1,158,102,1620,104,156,2251,1618,2253,
100002355837_#1.jpg _P1,156,99,1619,98,159,2245,1620,2247,
100002365832_#1.jpg _P1,155,98,1618,97,157,2245,1619,2246,
100003015867_#1.jpg _P1,154,101,1617,99,158,2247,1620,2248,
100003025862_#1.jpg _P1,152,102,1615,100,157,2248,1619,2248,
100003035857_#1.jpg _P1,158,101,1620,100,161,2247,1623,2248,
100003045852_#1.jpg _P1,155,101,1618,99,158,2246,1620,2248,
100003055847_#1.jpg _P1,155,99,1619,98,159,2245,1622,2246,
100003065842_#1.jpg _P1,154,100,1616,98,157,2246,1618,2247,
100003075837_#1.jpg _P1,154,101,1617,99,157,2246,1619,2248,
