卷號,上,右,左,下,
0001_#2.jpg _P4,1421.00035186484,2165.00577366436,2166.00207756133,1419,
0002_#2.jpg _P4,1420.00035211263,2164.0057763324,2166.00577099878,1420.00035211263,
0003_#2.jpg _P4,1420.00035211263,2164.0057763324,2165.00369514696,1419,
0004_#2.jpg _P4,1422.0003516174,2164.011321597,2164.00092421422,1417.00035285811,
0005_#2.jpg _P4,1421,2165.0083140718,2165.00207852094,1418,
0006_#2.jpg _P4,1420,2165.00369514696,2166.00369344099,1420.00035211263,
0007_#2.jpg _P4,1420,2165.0083140718,2164.00369685451,1418.00035260927,
0008_#2.jpg _P4,1421.00035186484,2165.00577366436,2165.00092378733,1418.00035260927,
0009_#2.jpg _P4,1421.00035186484,2165.00369514696,2164.00092421422,1419,
0010_#2.jpg _P4,1420,2165.00577366436,2165.00207852094,1418,
0011_#2.jpg _P4,1420.00035211263,2165.0083140718,2166.00369344099,1418,
0012_#2.jpg _P4,1420,2165.00577366436,2165.00207852094,1418,
0013_#2.jpg _P4,1420.00035211263,2165.01478055001,2163.0083217593,1418.00317348023,
0014_#2.jpg _P4,1419.00035236077,2164.0057763324,2164.00369685451,1418.00035260927,
0015_#2.jpg _P4,1419.00035236077,2165.00577366436,2164.00207948144,1417,
0016_#2.jpg _P4,1420.00035211263,2165.0083140718,2166.00369344099,1418,
0017_#2.jpg _P4,1420.00035211263,2165.01131636765,2165.00369514696,1417.00035285811,
0018_#2.jpg _P4,1421,2165.0083140718,2164.00207948144,1418.00035260927,
0019_#2.jpg _P4,1420,2164.00831791377,2163.00208044283,1417.00035285811,
0020_#2.jpg _P4,1420,2164.0057763324,2164.00207948144,1418,
0021_#2.jpg _P4,1421.00035186484,2165.00369514696,2165.00023094687,1418.00035260927,
0022_#2.jpg _P4,1421,2165.0083140718,2164.00207948144,1418.00035260927,
0023_#2.jpg _P4,1423.0003513703,2164.01478738016,2164.00092421422,1417.00035285811,
0024_#2.jpg _P4,1422.0003516174,2165.01478055001,2164.00369685451,1418.00141043653,
0025_#2.jpg _P4,1422,2165.0083140718,2165.00207852094,1419,
0026_#2.jpg _P4,1422.00140646907,2165.00369514696,2164.00023105359,1419.00035236077,
0027_#2.jpg _P4,1422,2165.00577366436,2164.00207948144,1420.00035211263,
0028_#2.jpg _P4,1421.00035186484,2164.011321597,2165.00369514696,1418,
0029_#2.jpg _P4,1422.0003516174,2165.00577366436,2164.00023105359,1418,
0030_#2.jpg _P4,1421.00140745884,2165.01478055001,2163.01479421663,1421.00562982699,
0031_#2.jpg _P4,1420.00035211263,2165.00577366436,2163.00369856364,1419.00035236077,
0032_#2.jpg _P4,1421,2165.0083140718,2164.00207948144,1418.00035260927,
0033_#2.jpg _P4,1420.00140845001,2165.00369514696,2164.00023105359,1417.00035285811,
0034_#2.jpg _P4,1420.00035211263,2165.01131636765,2164.00207948144,1416,
0035_#2.jpg _P4,1419.00035236077,2165.00207852094,2165.00092378733,1418.00035260927,
0036_#2.jpg _P4,1419,2164.0057763324,2165.00369514696,1418.00035260927,
0037_#2.jpg _P4,1421,2165.0083140718,2164.00092421422,1417.00035285811,
0038_#2.jpg _P4,1421,2165.01131636765,2164.00207948144,1417.00035285811,
0039_#2.jpg _P4,1420,2164.00831791377,2164.00207948144,1417,
0040_#2.jpg _P4,1421,2164.0057763324,2165.00092378733,1418.00035260927,
0041_#2.jpg _P4,1420.00035211263,2165.01478055001,2164.0057763324,1417.0014114319,
0042_#2.jpg _P4,1421,2165.0083140718,2163.00369856364,1419.00140944257,
0043_#2.jpg _P4,1420,2165.00577366436,2165.00207852094,1418,
0044_#2.jpg _P4,1421,2165.0083140718,2164.00092421422,1417.00035285811,
0045_#2.jpg _P4,1422,2165.00577366436,2164.00023105359,1418.00035260927,
0046_#2.jpg _P4,1420.00035211263,2166.00369344099,2165.00092378733,1418,
0047_#2.jpg _P4,1419,2164.00207948144,2164.00092421422,1418,
0048_#2.jpg _P4,1419,2165.00369514696,2164.00207948144,1418.00035260927,
0049_#2.jpg _P4,1419.00035236077,2164.0057763324,2165.00207852094,1417,
0050_#2.jpg _P4,1420,2165.00577366436,2163.0009246415,1417.0014114319,
0051_#2.jpg _P4,1421.00140745884,2164.01478738016,2163.00369856364,1417.0031757198,
0052_#2.jpg _P4,1420,2164.0057763324,2165.00207852094,1418.00035260927,
0053_#2.jpg _P4,1420.00035211263,2165.01478055001,2165.00577366436,1417.00035285811,
0054_#2.jpg _P4,1421,2165.00577366436,2165.00092378733,1418,
0055_#2.jpg _P4,1420,2164.0057763324,2165.00207852094,1418.00035260927,
0056_#2.jpg _P4,1421,2164.0057763324,2164.00092421422,1418,
0057_#2.jpg _P4,1421.00140745884,2164.01871526103,2164.00369685451,1416.00141242867,
0058_#2.jpg _P4,1422,2164.011321597,2163.0009246415,1417.00035285811,
0059_#2.jpg _P4,1421.00035186484,2165.01131636765,2163.0009246415,1416.0003531073,
0060_#2.jpg _P4,1419.00035236077,2165.00577366436,2163.00208044283,1417.00035285811,
0061_#2.jpg _P4,1422,2165.01131636765,2163.00208044283,1418.00141043653,
0062_#2.jpg _P4,1420,2165.00577366436,2163.00208044283,1418.00141043653,
0063_#2.jpg _P4,1421.00035186484,2164.00831791377,2164.00207948144,1418.00035260927,
0064_#2.jpg _P4,1422.00140646907,2164.01871526103,2164.00369685451,1417.0014114319,
0065_#2.jpg _P4,1421.00035186484,2165.01131636765,2162.0020814051,1417.0014114319,
0066_#2.jpg _P4,1420,2164.0057763324,2163.00369856364,1419.00035236077,
0067_#2.jpg _P4,1422,2165.0083140718,2164.00092421422,1418.00035260927,
0068_#2.jpg _P4,1420.00035211263,2164.011321597,2164.00369685451,1417.00035285811,
0069_#2.jpg _P4,1420.00035211263,2165.00369514696,2164,1416,
0070_#2.jpg _P4,1419.00035236077,2165.01131636765,2164.00207948144,1415.00141342686,
0071_#2.jpg _P4,1419.00035236077,2165.0083140718,2165.00207852094,1416.0003531073,
0072_#2.jpg _P4,1420.00035211263,2165.0083140718,2164.00207948144,1417.0014114319,
0073_#2.jpg _P4,1421.00035186484,2165.00577366436,2164.00092421422,1418,
0074_#2.jpg _P4,1421.00035186484,2165.00369514696,2164.00092421422,1419,
0075_#2.jpg _P4,1421.00035186484,2166.00831023337,2164.00092421422,1417.00035285811,
0076_#2.jpg _P4,1421.00035186484,2165.00577366436,2164.00092421422,1418,
0077_#2.jpg _P4,1420.00035211263,2165.00369514696,2163.00023116041,1417.00035285811,
0078_#2.jpg _P4,1420.00035211263,2165.00577366436,2164.00207948144,1418.00141043653,
0079_#2.jpg _P4,1420.00035211263,2165.00207852094,2164.00092421422,1419,
0080_#2.jpg _P4,1419.00035236077,2164.00369685451,2164.00092421422,1417.00035285811,
0081_#2.jpg _P4,1420.00035211263,2165.00577366436,2163.00208044283,1418.00035260927,
0082_#2.jpg _P4,1421.00035186484,2165.00369514696,2164.00023105359,1418,
0083_#2.jpg _P4,1420.00035211263,2164.00831791377,2165.00207852094,1417,
0084_#2.jpg _P4,1420,2164.0057763324,2165.00092378733,1417.00035285811,
0085_#2.jpg _P4,1420,2166.00831023337,2165.00207852094,1417.00035285811,
0086_#2.jpg _P4,1419,2164.00831791377,2165.00207852094,1416.0003531073,
0087_#2.jpg _P4,1421.00140745884,2165.01870661664,2165.0083140718,1418.00141043653,
0088_#2.jpg _P4,1421.00140745884,2165.00369514696,2164.00092421422,1419.00035236077,
0089_#2.jpg _P4,1421.00035186484,2164.00831791377,2165.00207852094,1418,
0090_#2.jpg _P4,1420,2165.00577366436,2164.00207948144,1418.00035260927,
0091_#2.jpg _P4,1420,2165.0083140718,2164.00369685451,1418.00035260927,
0092_#2.jpg _P4,1420,2164.00207948144,2166.00092336084,1419.00140944257,
0093_#2.jpg _P4,1420,2165.00577366436,2164.00207948144,1418.00035260927,
0094_#2.jpg _P4,1420,2165.0083140718,2165.00369514696,1418,
0095_#2.jpg _P4,1420.00035211263,2165.00577366436,2165.00092378733,1417.00035285811,
0096_#2.jpg _P4,1419,2165.00369514696,2165.00207852094,1418,
0097_#2.jpg _P4,1420,2165.0083140718,2165.00207852094,1417,
