卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y
0096_#1.jpg _P1,127,70,1544,76,118,2237,1533,2242
0097_#1.jpg _P1,121,86,1538,88,119,2253,1534,2253
0098_#1.jpg _P1,120,86,1538,88,119,2253,1534,2253
0099_#1.jpg _P1,121,86,1538,87,119,2252,1534,2253
0100_#1.jpg _P1,120,86,1537,87,118,2252,1533,2253
0101_#1.jpg _P1,121,87,1539,88,119,2253,1535,2253
0102_#1.jpg _P1,120,85,1539,87,120,2253,1535,2253
0103_#1.jpg _P1,122,87,1540,88,121,2254,1537,2254
0104_#1.jpg _P1,120,86,1538,87,120,2253,1536,2253
0105_#1.jpg _P1,120,85,1539,86,119,2252,1534,2252
0106_#1.jpg _P1,122,76,1540,79,119,2243,1533,2245
0107_#1.jpg _P1,120,87,1538,88,120,2254,1535,2253
0108_#1.jpg _P1,121,85,1539,86,120,2252,1535,2251
0109_#1.jpg _P1,120,85,1538,86,119,2252,1534,2252
0110_#1.jpg _P1,121,85,1538,86,119,2252,1534,2252
0111_#1.jpg _P1,120,85,1538,86,120,2253,1535,2252
0112_#1.jpg _P1,122,85,1539,88,120,2253,1535,2253
0113_#1.jpg _P1,120,86,1538,86,120,2252,1535,2252
0114_#1.jpg _P1,120,86,1538,87,119,2253,1535,2253
0115_#1.jpg _P1,120,86,1538,87,119,2253,1535,2253
0116_#1.jpg _P1,119,86,1538,86,119,2253,1534,2252
0117_#1.jpg _P1,120,85,1538,86,119,2251,1533,2252
0118_#1.jpg _P1,125,68,1543,72,119,2235,1535,2238
0119_#1.jpg _P1,121,85,1539,86,119,2252,1534,2252
0120_#1.jpg _P1,121,86,1539,88,119,2253,1534,2254
0121_#1.jpg _P1,120,86,1538,87,119,2252,1534,2253
0122_#1.jpg _P1,121,84,1538,86,118,2251,1534,2252
0123_#1.jpg _P1,120,86,1538,87,120,2253,1534,2252
0124_#1.jpg _P1,120,86,1538,87,118,2253,1533,2253
0125_#1.jpg _P1,121,87,1538,87,120,2254,1536,2253
0126_#1.jpg _P1,120,85,1538,87,119,2252,1534,2252
0127_#1.jpg _P1,122,83,1540,85,121,2250,1536,2251
0128_#1.jpg _P1,120,86,1538,87,119,2253,1534,2253
0129_#1.jpg _P1,120,85,1539,86,120,2252,1535,2253
0130_#1.jpg _P1,121,86,1538,87,120,2253,1535,2254
0131_#1.jpg _P1,121,82,1539,83,119,2249,1535,2250
0132_#1.jpg _P1,122,85,1540,87,119,2251,1536,2252
0133_#1.jpg _P1,121,86,1540,88,119,2253,1535,2253
0134_#1.jpg _P1,122,86,1541,88,119,2252,1536,2253
0135_#1.jpg _P1,121,85,1539,87,119,2252,1535,2252
0136_#1.jpg _P1,121,85,1539,87,118,2252,1535,2253
0137_#1.jpg _P1,121,84,1539,86,119,2251,1534,2252
0138_#1.jpg _P1,122,86,1539,87,119,2252,1535,2253
0139_#1.jpg _P1,122,86,1539,88,120,2253,1536,2253
0140_#1.jpg _P1,120,86,1538,87,119,2253,1534,2253
0141_#1.jpg _P1,121,84,1538,86,119,2250,1535,2251
0142_#1.jpg _P1,121,83,1539,85,119,2250,1535,2250
0143_#1.jpg _P1,122,81,1540,83,119,2248,1534,2249
0144_#1.jpg _P1,120,83,1538,85,118,2250,1534,2251
0145_#1.jpg _P1,121,85,1539,87,119,2252,1535,2253
0146_#1.jpg _P1,120,82,1538,84,119,2249,1534,2249
0147_#1.jpg _P1,120,84,1539,85,119,2251,1534,2251
0148_#1.jpg _P1,122,86,1540,89,119,2253,1536,2254
0149_#1.jpg _P1,122,84,1540,86,120,2251,1536,2251
0150_#1.jpg _P1,123,84,1540,87,120,2251,1536,2252
0151_#1.jpg _P1,121,87,1539,88,120,2253,1535,2254
0152_#1.jpg _P1,120,82,1537,84,119,2249,1534,2249
0153_#1.jpg _P1,121,86,1538,88,118,2252,1533,2254
0154_#1.jpg _P1,120,86,1537,88,119,2254,1534,2253
0155_#1.jpg _P1,121,87,1539,88,120,2253,1535,2254
0156_#1.jpg _P1,121,81,1539,84,119,2248,1534,2249
0157_#1.jpg _P1,122,83,1540,86,119,2250,1534,2252
0158_#1.jpg _P1,120,85,1538,87,118,2252,1534,2253
0159_#1.jpg _P1,121,87,1539,89,119,2254,1535,2254
0160_#1.jpg _P1,121,86,1540,88,120,2252,1535,2253
0161_#1.jpg _P1,120,86,1538,88,118,2252,1533,2253
0162_#1.jpg _P1,120,88,1538,90,118,2254,1534,2256
0163_#1.jpg _P1,123,85,1540,89,119,2252,1534,2254
0164_#1.jpg _P1,120,88,1537,90,118,2255,1533,2255
0165_#1.jpg _P1,124,83,1540,87,119,2250,1534,2252
0166_#1.jpg _P1,121,88,1538,90,118,2255,1534,2255
0167_#1.jpg _P1,120,87,1538,90,118,2254,1534,2255
0168_#1.jpg _P1,120,86,1537,87,119,2252,1535,2253
0169_#1.jpg _P1,119,87,1537,87,118,2253,1534,2254
0170_#1.jpg _P1,119,86,1538,87,118,2253,1534,2253
0171_#1.jpg _P1,121,86,1540,88,119,2253,1535,2254
0172_#1.jpg _P1,120,86,1539,87,119,2252,1534,2253
0173_#1.jpg _P1,120,86,1537,87,118,2252,1534,2253
0174_#1.jpg _P1,121,86,1539,87,119,2252,1534,2253
0175_#1.jpg _P1,120,84,1538,86,118,2251,1534,2252
0176_#1.jpg _P1,120,80,1538,81,118,2246,1534,2247
0177_#1.jpg _P1,120,86,1538,87,117,2252,1533,2253
0178_#1.jpg _P1,120,86,1539,88,118,2253,1534,2253
0179_#1.jpg _P1,121,86,1539,88,119,2253,1534,2254
0180_#1.jpg _P1,121,85,1540,88,119,2252,1534,2253
0181_#1.jpg _P1,120,84,1538,86,119,2251,1534,2251
0182_#1.jpg _P1,119,86,1537,88,118,2253,1533,2253
0183_#1.jpg _P1,120,86,1538,87,119,2252,1534,2252
0184_#1.jpg _P1,119,86,1538,88,118,2253,1534,2253
0185_#1.jpg _P1,120,86,1539,88,119,2252,1534,2252
0186_#1.jpg _P1,121,86,1538,88,119,2253,1534,2253
0187_#1.jpg _P1,120,86,1538,87,119,2253,1534,2253
0188_#1.jpg _P1,120,87,1538,87,120,2254,1535,2253
0189_#1.jpg _P1,121,84,1538,86,118,2251,1533,2251
0190_#1.jpg _P1,119,85,1538,86,118,2252,1533,2252
0191_#1.jpg _P1,121,86,1539,87,120,2252,1535,2252
0192_#1.jpg _P1,119,86,1537,87,118,2253,1533,2253
0193_#1.jpg _P1,121,86,1539,87,120,2252,1535,2252
0194_#1.jpg _P1,122,84,1539,86,119,2250,1534,2251
0195_#1.jpg _P1,120,84,1538,86,118,2251,1534,2250
0196_#1.jpg _P1,122,85,1540,87,119,2252,1535,2253
0197_#1.jpg _P1,120,85,1539,87,119,2251,1534,2252
0198_#1.jpg _P1,119,85,1538,86,118,2251,1533,2251
0199_#1.jpg _P1,122,83,1540,85,119,2249,1534,2251
0200_#1.jpg _P1,120,85,1538,87,119,2252,1533,2252
