卷號,上,右,左,下,
0001_#2.jpg _P3,1412,2165.00207852094,2165.00207852094,1412,
0002_#2.jpg _P3,1413,2166.00369344099,2165.00207852094,1412.0003541076,
0003_#2.jpg _P3,1413.000353857,2164.00369685451,2165.00207852094,1412,
0004_#2.jpg _P3,1413.000353857,2165.00092378733,2166.00023084025,1412.00141642988,
0005_#2.jpg _P3,1412.00141642988,2164.00207948144,2167.0020766026,1412.0003541076,
0006_#2.jpg _P3,1413.000353857,2165.00207852094,2166.00092336084,1412,
0007_#2.jpg _P3,1412.0003541076,2165.00207852094,2166.00207756133,1412,
0008_#2.jpg _P3,1413.000353857,2165.00207852094,2167.00092293474,1412.0003541076,
0009_#2.jpg _P3,1413.00141542746,2164.00207948144,2167.00092293474,1412.0003541076,
0010_#2.jpg _P3,1412.0003541076,2164.00207948144,2166.00092336084,1411.00035435857,
0011_#2.jpg _P3,1413.000353857,2165.00369514696,2166.00092336084,1411,
0012_#2.jpg _P3,1413,2165.00207852094,2166.00207756133,1413.000353857,
0013_#2.jpg _P3,1412.00141642988,2165.0083140718,2166.00831023337,1412.0003541076,
0014_#2.jpg _P3,1413.00141542746,2164.00369685451,2166.00207756133,1412,
0015_#2.jpg _P3,1413.000353857,2165.00092378733,2166.00023084025,1412.00141642988,
0016_#2.jpg _P3,1413.03272724034,2164.96936190417,2166.00207756133,1412,
0017_#2.jpg _P3,1412.0003541076,2165.00369514696,2166.00369344099,1412,
0018_#2.jpg _P3,1413,2165.00092378733,2166.00023084025,1412.0003541076,
0019_#2.jpg _P3,1412.0003541076,2164.00207948144,2166.00092336084,1411.00035435857,
0020_#2.jpg _P3,1413,2165.00207852094,2166.00092336084,1412.0003541076,
0021_#2.jpg _P3,1412.0003541076,2165,2166,1412.00141642988,
0022_#2.jpg _P3,1413,2165.00207852094,2165.00092378733,1412,
0023_#2.jpg _P3,1412,2164.00092421422,2166.00092336084,1412.00141642988,
0024_#2.jpg _P3,1412.00141642988,2164.00207948144,2166.00207756133,1412,
0025_#2.jpg _P3,1411.00035435857,2164.00092421422,2165.00207852094,1412,
0026_#2.jpg _P3,1412.0003541076,2164.00023105359,2166.00023084025,1412.0003541076,
0027_#2.jpg _P3,1413.00141542746,2164.00369685451,2166.00207756133,1412,
0028_#2.jpg _P3,1413.00141542746,2164.00369685451,2166.00092336084,1411,
0029_#2.jpg _P3,1412.0003541076,2164.00023105359,2167.00023073372,1412.00141642988,
0030_#2.jpg _P3,1413.00566170133,2164.01478738016,2166.01131114313,1412.00141642988,
0031_#2.jpg _P3,1412.0003541076,2164.00207948144,2166.00369344099,1413.000353857,
0032_#2.jpg _P3,1412,2165.00207852094,2166.00207756133,1412.0003541076,
0033_#2.jpg _P3,1412.0003541076,2166.00023084025,2167.00023073372,1412.00141642988,
0034_#2.jpg _P3,1413.000353857,2165.00207852094,2166.00092336084,1412,
0035_#2.jpg _P3,1412.0003541076,2165.00023094687,2166.00023084025,1412.00141642988,
0036_#2.jpg _P3,1412,2165.00369514696,2166.00369344099,1412.0003541076,
0037_#2.jpg _P3,1413,2164.00092421422,2165,1411.00035435857,
0038_#2.jpg _P3,1412.0003541076,2164.00369685451,2165.00207852094,1411,
0039_#2.jpg _P3,1412,2164.00092421422,2166.00023084025,1411.00141743373,
0040_#2.jpg _P3,1412,2165.00023094687,2166,1411.00035435857,
0041_#2.jpg _P3,1413.000353857,2164.00369685451,2165.00092378733,1411,
0042_#2.jpg _P3,1414,2165.00207852094,2166,1411.00035435857,
0043_#2.jpg _P3,1413,2164.00207948144,2165.00023094687,1411.00035435857,
0044_#2.jpg _P3,1413,2164.00092421422,2165,1411.00035435857,
0045_#2.jpg _P3,1412,2164.00023105359,2166,1411.00141743373,
0046_#2.jpg _P3,1413,2164.00092421422,2166,1411.00141743373,
0047_#2.jpg _P3,1412,2164.00023105359,2166,1411.00141743373,
0048_#2.jpg _P3,1412.0003541076,2164.00092421422,2166.00023084025,1411.00035435857,
0049_#2.jpg _P3,1413,2164.00207948144,2166.00023084025,1411.00141743373,
0050_#2.jpg _P3,1412.0003541076,2164.00207948144,2166.00092336084,1411.00035435857,
0051_#2.jpg _P3,1412.0003541076,2163.00369856364,2164.00207948144,1411,
0052_#2.jpg _P3,1412.0003541076,2165.00207852094,2166.00092336084,1411,
0053_#2.jpg _P3,1412.0003541076,2165.00369514696,2165.00207852094,1411.00035435857,
0054_#2.jpg _P3,1413.00141542746,2165.00092378733,2165,1411.00141743373,
0055_#2.jpg _P3,1413,2165.00092378733,2166,1411.00035435857,
0056_#2.jpg _P3,1412.0003541076,2164.00092421422,2166.00023084025,1411.00035435857,
0057_#2.jpg _P3,1412.0003541076,2163.00208044283,2166.00023084025,1410.001418439,
0058_#2.jpg _P3,1413,2164.00092421422,2165,1411.00035435857,
0059_#2.jpg _P3,1412.0003541076,2164.00207948144,2165.00092378733,1411,
0060_#2.jpg _P3,1413.00141542746,2163.00208044283,2166.00023084025,1411.00035435857,
0061_#2.jpg _P3,1413.000353857,2164.00207948144,2166.00023084025,1411.00035435857,
0062_#2.jpg _P3,1413,2165.00207852094,2166.00023084025,1411.00035435857,
0063_#2.jpg _P3,1412,2164.00207948144,2165.00092378733,1411.00035435857,
0064_#2.jpg _P3,1412.0003541076,2165.00207852094,2167.00092293474,1411.00035435857,
0065_#2.jpg _P3,1413.000353857,2165.00207852094,2166.00092336084,1412,
0066_#2.jpg _P3,1413.000353857,2165.00369514696,2167.00092293474,1411.00035435857,
0067_#2.jpg _P3,1412.0003541076,2164.00092421422,2166.00023084025,1411.00035435857,
0068_#2.jpg _P3,1413.000353857,2165.00369514696,2166.00092336084,1411,
0069_#2.jpg _P3,1413.00141542746,2165.00023094687,2166.00023084025,1411.00318922389,
0070_#2.jpg _P3,1412.0003541076,2165.00207852094,2166.00092336084,1411,
0071_#2.jpg _P3,1412.0003541076,2166.00207756133,2165.00092378733,1411,
0072_#2.jpg _P3,1413,2165.00207852094,2166.00023084025,1411.00035435857,
0073_#2.jpg _P3,1413,2165.00092378733,2165.00023094687,1412,
0074_#2.jpg _P3,1413,2164.00092421422,2165,1411.00035435857,
0075_#2.jpg _P3,1412.0003541076,2164.00092421422,2165.00023094687,1411.00141743373,
0076_#2.jpg _P3,1413.000353857,2164.00092421422,2165.00023094687,1412.00141642988,
0077_#2.jpg _P3,1412.0003541076,2163.00023116041,2166,1411.00141743373,
