卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
0001_#1.jpg _P2,1775,87,3188,90,1769,2253,3183,2256,
0002_#1.jpg _P2,1773,86,3185,89,1768,2252,3182,2255,
0003_#1.jpg _P2,1774,88,3186,89,1770,2253,3184,2255,
0004_#1.jpg _P2,1773,86,3186,89,1768,2252,3182,2254,
0005_#1.jpg _P2,1773,89,3185,91,1768,2254,3182,2256,
0006_#1.jpg _P2,1773,87,3186,89,1768,2253,3182,2255,
0007_#1.jpg _P2,1772,87,3185,88,1768,2252,3183,2254,
0008_#1.jpg _P2,1774,86,3187,88,1768,2251,3183,2254,
0009_#1.jpg _P2,1773,88,3186,89,1769,2253,3184,2255,
0010_#1.jpg _P2,1772,87,3184,87,1768,2252,3182,2253,
0011_#1.jpg _P2,1774,88,3187,90,1768,2253,3182,2256,
0012_#1.jpg _P2,1772,87,3185,89,1768,2252,3183,2254,
0013_#1.jpg _P2,1774,86,3186,88,1768,2251,3182,2254,
0014_#1.jpg _P2,1773,88,3186,90,1769,2254,3183,2256,
0015_#1.jpg _P2,1772,87,3185,89,1767,2252,3182,2254,
0016_#1.jpg _P2,1772,88,3185,90,1767,2254,3182,2256,
0017_#1.jpg _P2,1773,88,3186,90,1768,2253,3182,2256,
0018_#1.jpg _P2,1772,87,3185,89,1767,2253,3183,2254,
0019_#1.jpg _P2,1773,87,3186,89,1768,2252,3183,2255,
0020_#1.jpg _P2,1773,87,3185,88,1768,2252,3183,2253,
0021_#1.jpg _P2,1771,87,3183,88,1767,2253,3182,2253,
0022_#1.jpg _P2,1772,84,3186,85,1768,2249,3182,2251,
0023_#1.jpg _P2,1772,88,3184,89,1767,2253,3182,2254,
0024_#1.jpg _P2,1773,88,3186,91,1768,2254,3182,2256,
0025_#1.jpg _P2,1773,88,3185,89,1769,2253,3184,2255,
0026_#1.jpg _P2,1775,86,3187,90,1768,2252,3182,2255,
0027_#1.jpg _P2,1776,87,3188,89,1770,2253,3185,2255,
0028_#1.jpg _P2,1773,87,3186,89,1768,2253,3181,2255,
0029_#1.jpg _P2,1774,87,3186,89,1768,2252,3182,2255,
0030_#1.jpg _P2,1773,84,3185,85,1770,2249,3185,2250,
0031_#1.jpg _P2,1775,89,3187,91,1770,2254,3185,2257,
0032_#1.jpg _P2,1774,86,3186,89,1768,2252,3183,2254,
0033_#1.jpg _P2,1772,88,3184,90,1767,2254,3181,2255,
0034_#1.jpg _P2,1771,87,3184,89,1766,2253,3181,2254,
0035_#1.jpg _P2,1771,82,3184,83,1767,2247,3181,2248,
0036_#1.jpg _P2,1773,82,3186,83,1769,2247,3184,2248,
0037_#1.jpg _P2,1772,86,3184,87,1769,2252,3182,2252,
0038_#1.jpg _P2,1773,87,3185,90,1767,2254,3180,2256,
0039_#1.jpg _P2,1772,88,3185,91,1767,2254,3180,2256,
0040_#1.jpg _P2,1772,87,3184,89,1769,2253,3181,2254,
0041_#1.jpg _P2,1772,82,3184,83,1767,2247,3180,2249,
0042_#1.jpg _P2,1773,88,3185,90,1768,2254,3181,2256,
0043_#1.jpg _P2,1772,87,3185,89,1768,2253,3181,2254,
0044_#1.jpg _P2,1774,86,3186,89,1768,2253,3182,2254,
0045_#1.jpg _P2,1774,87,3185,90,1768,2253,3181,2255,
0046_#1.jpg _P2,1772,87,3184,90,1767,2254,3180,2255,
0047_#1.jpg _P2,1770,87,3183,88,1767,2252,3179,2253,
0048_#1.jpg _P2,1771,87,3183,89,1768,2253,3181,2254,
0049_#1.jpg _P2,1771,87,3184,89,1766,2253,3179,2254,
0050_#1.jpg _P2,1772,87,3184,89,1767,2253,3180,2254,
0051_#1.jpg _P2,1771,89,3184,90,1766,2254,3179,2256,
0052_#1.jpg _P2,1771,88,3183,90,1768,2254,3181,2255,
0053_#1.jpg _P2,1772,88,3185,92,1767,2255,3180,2257,
0054_#1.jpg _P2,1773,88,3185,91,1767,2254,3180,2256,
0055_#1.jpg _P2,1773,86,3185,89,1767,2252,3180,2253,
0056_#1.jpg _P2,1771,87,3184,89,1767,2253,3180,2254,
0057_#1.jpg _P2,1771,86,3184,89,1766,2252,3179,2254,
0058_#1.jpg _P2,1772,86,3183,88,1767,2252,3180,2252,
0059_#1.jpg _P2,1773,88,3185,90,1768,2253,3181,2256,
0060_#1.jpg _P2,1770,89,3182,90,1766,2254,3179,2255,
0061_#1.jpg _P2,1772,88,3184,90,1767,2254,3181,2255,
0062_#1.jpg _P2,1772,87,3184,90,1767,2253,3180,2255,
0063_#1.jpg _P2,1775,81,3187,85,1768,2247,3181,2250,
0064_#1.jpg _P2,1773,87,3185,90,1765,2252,3178,2255,
0065_#1.jpg _P2,1772,87,3184,90,1767,2253,3180,2255,
0066_#1.jpg _P2,1773,82,3185,85,1768,2249,3181,2250,
0067_#1.jpg _P2,1772,68,3184,68,1771,2235,3185,2233,
0068_#1.jpg _P2,1771,87,3184,89,1767,2253,3180,2254,
0069_#1.jpg _P2,1772,87,3184,88,1767,2253,3181,2253,
0070_#1.jpg _P2,1771,74,3184,74,1769,2239,3183,2239,
0071_#1.jpg _P2,1772,88,3185,91,1767,2255,3180,2257,
0072_#1.jpg _P2,1773,88,3185,90,1768,2253,3181,2255,
0073_#1.jpg _P2,1773,87,3186,90,1767,2253,3180,2256,
0074_#1.jpg _P2,1773,87,3185,89,1768,2253,3181,2255,
0075_#1.jpg _P2,1772,87,3185,90,1767,2253,3180,2255,
0076_#1.jpg _P2,1773,86,3185,89,1767,2252,3181,2254,
0077_#1.jpg _P2,1772,87,3184,88,1768,2252,3181,2253,
0078_#1.jpg _P2,1773,86,3185,88,1768,2251,3180,2254,
0079_#1.jpg _P2,1773,86,3186,88,1769,2251,3182,2253,
0080_#1.jpg _P2,1773,87,3186,90,1767,2252,3180,2255,
0081_#1.jpg _P2,1773,86,3185,89,1766,2252,3179,2254,
0082_#1.jpg _P2,1773,86,3185,88,1767,2252,3180,2254,
0083_#1.jpg _P2,1772,82,3184,85,1767,2249,3181,2249,
0084_#1.jpg _P2,1771,82,3183,84,1766,2248,3179,2249,
0085_#1.jpg _P2,1776,81,3188,86,1767,2247,3180,2251,
0086_#1.jpg _P2,1770,89,3183,91,1766,2255,3180,2255,
0087_#1.jpg _P2,1771,78,3183,79,1768,2244,3181,2244,
0088_#1.jpg _P2,1773,77,3185,79,1768,2243,3180,2244,
0089_#1.jpg _P2,1771,82,3183,85,1766,2249,3180,2250,
0090_#1.jpg _P2,1773,87,3185,90,1768,2254,3181,2255,
0091_#1.jpg _P2,1772,71,3184,73,1768,2238,3181,2238,
0092_#1.jpg _P2,1774,84,3187,89,1767,2251,3180,2253,
0093_#1.jpg _P2,1772,87,3185,89,1767,2253,3180,2254,
0094_#1.jpg _P2,1772,85,3185,87,1767,2251,3180,2252,
0095_#1.jpg _P2,1772,88,3184,90,1766,2253,3180,2255,
0096_#1.jpg _P2,1778,77,3191,84,1767,2244,3179,2249,
0097_#1.jpg _P2,1772,88,3185,90,1767,2254,3180,2255,
0098_#1.jpg _P2,1771,88,3184,90,1767,2254,3180,2255,
0099_#1.jpg _P2,1772,87,3184,90,1767,2254,3180,2255,
0100_#1.jpg _P2,1771,87,3184,89,1766,2253,3179,2254,
0101_#1.jpg _P2,1773,88,3185,90,1768,2254,3182,2255,
0102_#1.jpg _P2,1774,87,3186,89,1768,2253,3181,2254,
0103_#1.jpg _P2,1774,88,3186,90,1770,2254,3183,2255,
0104_#1.jpg _P2,1772,87,3184,88,1769,2253,3182,2253,
0105_#1.jpg _P2,1772,87,3185,89,1767,2253,3180,2254,
0106_#1.jpg _P2,1773,80,3186,83,1766,2245,3180,2249,
0107_#1.jpg _P2,1772,88,3184,89,1769,2253,3181,2254,
