卷號,上,右,左,下,
0001_#1.jpg _P1,1417.0014114319,2167.00830639848,2167.00369173659,1415.00141342686,
0002_#1.jpg _P1,1418.00035260927,2166.00577099878,2166.00092336084,1415.00035335685,
0003_#1.jpg _P1,1418.00035260927,2166.00369344099,2166.00092336084,1416.0003531073,
0004_#1.jpg _P1,1419,2166.00577099878,2166.00023084025,1415,
0005_#1.jpg _P1,1417.0014114319,2166.00577099878,2166.00207756133,1415.00141342686,
0006_#1.jpg _P1,1417.0014114319,2166.00369344099,2167.00092293474,1415.00035335685,
0007_#1.jpg _P1,1417.00035285811,2165.00207852094,2166.00023084025,1415,
0008_#1.jpg _P1,1418.00317348023,2165.00577366436,2166.00369344099,1417.0014114319,
0009_#1.jpg _P1,1417.0014114319,2165.00369514696,2167.00092293474,1415,
0010_#1.jpg _P1,1418.00035260927,2165.00369514696,2166.00092336084,1416,
0011_#1.jpg _P1,1418.00141043653,2165.00577366436,2166.00207756133,1416.0003531073,
0012_#1.jpg _P1,1418.00035260927,2165.00369514696,2167.00023073372,1415.00035335685,
0013_#1.jpg _P1,1418.00317348023,2165.0083140718,2167.00369173659,1416.0003531073,
0014_#1.jpg _P1,1417.0014114319,2165.00369514696,2166.00092336084,1415.00035335685,
0015_#1.jpg _P1,1417.00035285811,2166.00369344099,2166.00092336084,1415.00035335685,
0016_#1.jpg _P1,1417.0014114319,2166.00369344099,2167.0020766026,1416.0003531073,
0017_#1.jpg _P1,1418.00141043653,2165.00577366436,2167.00092293474,1415,
0018_#1.jpg _P1,1417.00035285811,2166.00207756133,2167.00092293474,1416,
0019_#1.jpg _P1,1418.00141043653,2165.00577366436,2167.00092293474,1415,
0020_#1.jpg _P1,1417.0014114319,2165.00369514696,2167.00092293474,1415,
0021_#1.jpg _P1,1418.00035260927,2165.00207852094,2167.11230913598,1415.13929211832,
0022_#1.jpg _P1,1417.0014114319,2165.00369514696,2167.00092293474,1415,
0023_#1.jpg _P1,1419.00140944257,2165.00369514696,2167.00023073372,1416,
0024_#1.jpg _P1,1418.00141043653,2166.00577099878,2166.00092336084,1415.00141342686,
0025_#1.jpg _P1,1419.00140944257,2165.00369514696,2167.00092293474,1417,
0026_#1.jpg _P1,1418.00317348023,2165.0083140718,2167.00576833565,1417.00035285811,
0027_#1.jpg _P1,1419.00317124381,2165.0083140718,2166.00369344099,1417.0014114319,
0028_#1.jpg _P1,1418.00141043653,2166.00577099878,2167.0020766026,1416.0003531073,
0029_#1.jpg _P1,1418.00141043653,2165.00577366436,2166.00207756133,1416.0003531073,
0030_#1.jpg _P1,1417.00035285811,2165.00092378733,2166.00207756133,1418,
0031_#1.jpg _P1,1417.0031757198,2165.00577366436,2167.00369173659,1416.0003531073,
0032_#1.jpg _P1,1418.00141043653,2166.00577099878,2166.00207756133,1416.00141242867,
0033_#1.jpg _P1,1417.0014114319,2166.43686635316,2167.0020766026,1414.91979092164,
0034_#1.jpg _P1,1417.0014114319,2165.00369514696,2167.00092293474,1415,
0035_#1.jpg _P1,1417.0014114319,2165.00369514696,2167.00092293474,1415,
0036_#1.jpg _P1,1418.00035260927,2165.00207852094,2165.00092378733,1417.00035285811,
0037_#1.jpg _P1,1418,2166.00092336084,2167,1416.0003531073,
0038_#1.jpg _P1,1418.00141043653,2166.00577099878,2166.00092336084,1415.00141342686,
0039_#1.jpg _P1,1419.00140944257,2165.00577366436,2167.00023073372,1415,
0040_#1.jpg _P1,1418.00035260927,2164.00207948144,2166.00023084025,1416.0003531073,
0041_#1.jpg _P1,1418.00035260927,2166.00369344099,2167.00023073372,1415,
0042_#1.jpg _P1,1420.00035211263,2165.00369514696,2167,1416.0003531073,
0043_#1.jpg _P1,1418.00035260927,2166.00577099878,2166.00092336084,1415.00035335685,
0044_#1.jpg _P1,1419.00140944257,2165.00577366436,2167.00092293474,1416,
0045_#1.jpg _P1,1419.00140944257,2165.0083140718,2166.00092336084,1415.00035335685,
0046_#1.jpg _P1,1417.00035285811,2166.00369344099,2166.00207756133,1416.0003531073,
0047_#1.jpg _P1,1417.0014114319,2166.00369344099,2166.00092336084,1415.00141342686,
0048_#1.jpg _P1,1416.00141242867,2165.00207852094,2166.00092336084,1415.00035335685,
0049_#1.jpg _P1,1416.0003531073,2166.00369344099,2166.00092336084,1414.00035360674,
0050_#1.jpg _P1,1418.00141043653,2165.00577366436,2166.00092336084,1415.00035335685,
0051_#1.jpg _P1,1418.00035260927,2165.00369514696,2166.00092336084,1416,
0052_#1.jpg _P1,1418.00035260927,2165.00207852094,2166.00023084025,1416,
0053_#1.jpg _P1,1418.00141043653,2166.00831023337,2167.00092293474,1414.00035360674,
0054_#1.jpg _P1,1418.00141043653,2166.00577099878,2167.00092293474,1415.00035335685,
0055_#1.jpg _P1,1418.00141043653,2165.0083140718,2167.00092293474,1414,
0056_#1.jpg _P1,1417,2166.00207756133,2166.00023084025,1415,
0057_#1.jpg _P1,1418.00035260927,2166.00369344099,2167.00023073372,1415,
0058_#1.jpg _P1,1418.00035260927,2166.00369344099,2166.00023084025,1415.00035335685,
0059_#1.jpg _P1,1417.0014114319,2165.00577366436,2167.00092293474,1414,
0060_#1.jpg _P1,1417.00035285811,2166.00207756133,2166.00023084025,1415.00035335685,
