卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y,
0088_#2.jpg _P4,1767,86,3188,84,1765,2250,3184,2249,
0089_#2.jpg _P4,1768,86,3189,87,1765,2251,3183,2251,
0090_#2.jpg _P4,1769,85,3189,85,1766,2249,3184,2250,
0091_#2.jpg _P4,1769,87,3189,87,1765,2251,3183,2252,
0092_#2.jpg _P4,1766,86,3186,86,1764,2252,3183,2250,
0093_#2.jpg _P4,1769,86,3189,86,1766,2250,3184,2251,
0094_#2.jpg _P4,1770,82,3190,82,1766,2247,3184,2247,
0095_#2.jpg _P4,1768,86,3188,85,1766,2251,3183,2250,
0096_#2.jpg _P4,1769,85,3188,85,1766,2250,3184,2250,
0097_#2.jpg _P4,1767,86,3187,86,1764,2251,3181,2251,
0098_#2.jpg _P4,1766,82,3186,78,1768,2247,3186,2243,
0099_#2.jpg _P4,1769,87,3189,86,1766,2251,3183,2251,
0100_#2.jpg _P4,1770,85,3189,85,1767,2250,3184,2250,
0101_#2.jpg _P4,1768,85,3188,85,1765,2250,3183,2250,
0102_#2.jpg _P4,1769,86,3191,87,1767,2251,3184,2251,
0103_#2.jpg _P4,1769,87,3189,88,1766,2251,3185,2251,
0104_#2.jpg _P4,1770,87,3190,88,1766,2252,3184,2252,
0105_#2.jpg _P4,1767,86,3188,87,1765,2251,3182,2250,
0106_#2.jpg _P4,1767,86,3188,86,1765,2250,3182,2251,
0107_#2.jpg _P4,1769,87,3189,87,1766,2251,3184,2251,
0108_#2.jpg _P4,1770,87,3190,87,1766,2251,3185,2251,
0109_#2.jpg _P4,1769,87,3189,88,1765,2251,3183,2252,
0110_#2.jpg _P4,1771,85,3192,88,1766,2250,3183,2252,
0111_#2.jpg _P4,1768,87,3188,87,1765,2250,3182,2251,
0112_#2.jpg _P4,1768,87,3189,87,1765,2250,3182,2251,
0113_#2.jpg _P4,1769,86,3189,87,1766,2250,3184,2250,
0114_#2.jpg _P4,1770,85,3190,86,1766,2250,3184,2251,
0115_#2.jpg _P4,1772,87,3192,88,1767,2250,3184,2253,
0116_#2.jpg _P4,1770,87,3192,88,1766,2250,3183,2253,
0117_#2.jpg _P4,1768,86,3188,86,1765,2250,3182,2250,
0118_#2.jpg _P4,1769,82,3190,83,1765,2247,3183,2247,
0119_#2.jpg _P4,1769,86,3189,86,1766,2249,3184,2250,
0120_#2.jpg _P4,1767,85,3189,83,1767,2249,3184,2248,
0121_#2.jpg _P4,1768,87,3190,87,1765,2251,3182,2251,
0122_#2.jpg _P4,1770,87,3189,86,1766,2251,3184,2251,
0123_#2.jpg _P4,1766,86,3187,85,1765,2250,3181,2249,
0124_#2.jpg _P4,1769,88,3190,88,1766,2251,3182,2253,
0125_#2.jpg _P4,1769,84,3190,83,1767,2248,3185,2248,
0126_#2.jpg _P4,1769,85,3189,86,1765,2249,3182,2250,
0127_#2.jpg _P4,1771,82,3190,82,1767,2247,3184,2245,
0128_#2.jpg _P4,1767,87,3188,86,1765,2251,3181,2251,
0129_#2.jpg _P4,1772,86,3194,88,1768,2252,3184,2252,
0130_#2.jpg _P4,1770,86,3190,87,1767,2252,3184,2252,
0131_#2.jpg _P4,1769,82,3189,81,1767,2248,3185,2246,
0132_#2.jpg _P4,1770,87,3191,88,1766,2252,3186,2252,
0133_#2.jpg _P4,1771,87,3192,88,1767,2252,3186,2253,
0134_#2.jpg _P4,1770,88,3191,89,1766,2253,3185,2253,
0135_#2.jpg _P4,1769,86,3190,86,1766,2251,3185,2251,
0136_#2.jpg _P4,1770,87,3191,87,1767,2251,3185,2251,
0137_#2.jpg _P4,1770,88,3190,88,1766,2253,3185,2252,
0138_#2.jpg _P4,1772,87,3192,88,1767,2252,3186,2252,
0139_#2.jpg _P4,1770,86,3190,87,1765,2251,3184,2252,
0140_#2.jpg _P4,1769,87,3189,86,1766,2251,3184,2251,
0141_#2.jpg _P4,1770,86,3190,86,1767,2251,3185,2251,
0142_#2.jpg _P4,1769,86,3189,84,1767,2251,3185,2249,
0143_#2.jpg _P4,1767,80,3187,79,1766,2246,3183,2244,
0144_#2.jpg _P4,1770,86,3191,87,1766,2252,3184,2252,
0145_#2.jpg _P4,1769,85,3190,85,1767,2251,3185,2250,
0146_#2.jpg _P4,1769,85,3190,85,1767,2250,3185,2250,
0147_#2.jpg _P4,1770,86,3193,87,1768,2251,3184,2252,
0148_#2.jpg _P4,1768,86,3188,86,1766,2251,3184,2250,
0149_#2.jpg _P4,1769,87,3190,87,1766,2252,3185,2252,
0150_#2.jpg _P4,1771,86,3193,87,1768,2251,3185,2252,
0151_#2.jpg _P4,1769,86,3190,87,1766,2251,3183,2251,
0152_#2.jpg _P4,1771,86,3191,87,1767,2251,3185,2252,
0153_#2.jpg _P4,1768,85,3187,85,1767,2250,3184,2249,
0154_#2.jpg _P4,1769,86,3189,87,1766,2250,3183,2251,
0155_#2.jpg _P4,1769,86,3189,85,1768,2251,3185,2250,
0156_#2.jpg _P4,1769,86,3190,86,1766,2251,3184,2251,
0157_#2.jpg _P4,1771,87,3193,88,1766,2251,3185,2253,
0158_#2.jpg _P4,1770,86,3192,87,1767,2250,3185,2251,
0159_#2.jpg _P4,1769,87,3191,86,1766,2252,3185,2252,
0160_#2.jpg _P4,1771,87,3192,87,1768,2251,3187,2252,
0161_#2.jpg _P4,1769,86,3190,87,1767,2252,3184,2251,
0162_#2.jpg _P4,1769,87,3188,87,1765,2251,3184,2251,
0163_#2.jpg _P4,1770,87,3189,86,1768,2252,3185,2251,
0164_#2.jpg _P4,1769,86,3188,86,1766,2251,3183,2251,
0165_#2.jpg _P4,1769,86,3187,86,1765,2252,3183,2251,
0166_#2.jpg _P4,1770,87,3188,87,1767,2253,3184,2252,
0167_#2.jpg _P4,1769,85,3189,85,1767,2251,3185,2251,
0168_#2.jpg _P4,1769,86,3188,87,1764,2252,3182,2253,
0169_#2.jpg _P4,1769,86,3189,87,1766,2252,3184,2252,
0170_#2.jpg _P4,1768,85,3190,86,1767,2251,3184,2250,
0171_#2.jpg _P4,1768,86,3189,87,1765,2252,3184,2252,
0172_#2.jpg _P4,1769,86,3190,88,1764,2251,3182,2253,
0173_#2.jpg _P4,1770,87,3190,88,1766,2252,3184,2252,
0174_#2.jpg _P4,1769,85,3190,87,1766,2250,3183,2252,
0175_#2.jpg _P4,1768,86,3188,85,1766,2252,3185,2250,
0176_#2.jpg _P4,1769,86,3190,87,1765,2251,3183,2252,
0177_#2.jpg _P4,1771,86,3192,87,1767,2252,3184,2252,
0178_#2.jpg _P4,1769,86,3190,87,1767,2252,3184,2252,
0179_#2.jpg _P4,1768,86,3189,86,1766,2252,3183,2251,
0180_#2.jpg _P4,1769,85,3190,86,1766,2250,3183,2251,
0181_#2.jpg _P4,1768,86,3188,86,1766,2251,3183,2251,
0182_#2.jpg _P4,1768,85,3188,86,1765,2250,3182,2250,
0183_#2.jpg _P4,1768,83,3188,83,1766,2248,3184,2247,
0184_#2.jpg _P4,1769,86,3189,87,1766,2251,3183,2251,
0185_#2.jpg _P4,1768,85,3189,87,1765,2250,3181,2251,
0186_#2.jpg _P4,1768,86,3188,86,1765,2250,3182,2251,
0187_#2.jpg _P4,1770,87,3189,88,1766,2253,3183,2253,
0188_#2.jpg _P4,1770,88,3190,88,1765,2252,3183,2253,
0189_#2.jpg _P4,1769,86,3189,86,1765,2250,3183,2251,
0190_#2.jpg _P4,1768,87,3189,88,1765,2251,3181,2252,
0191_#2.jpg _P4,1768,87,3189,88,1764,2252,3182,2253,
0192_#2.jpg _P4,1767,87,3188,87,1765,2251,3182,2252,
0193_#2.jpg _P4,1769,87,3189,87,1766,2251,3183,2252,
0194_#2.jpg _P4,1768,86,3188,86,1766,2251,3183,2250,
0195_#2.jpg _P4,1769,86,3189,85,1766,2250,3184,2250,
0196_#2.jpg _P4,1769,86,3191,85,1767,2250,3185,2249,
0197_#2.jpg _P4,1770,86,3190,86,1767,2251,3185,2251,
0198_#2.jpg _P4,1769,86,3189,86,1767,2251,3184,2251,
0199_#2.jpg _P4,1767,80,3187,79,1765,2245,3183,2244,
0200_#2.jpg _P4,1771,87,3191,87,1767,2252,3184,2252,
0201_#2.jpg _P4,1768,86,3187,85,1766,2251,3183,2250,
0202_#2.jpg _P4,1769,85,3188,86,1766,2251,3183,2251,
0203_#2.jpg _P4,1770,87,3190,87,1767,2252,3185,2252,
0204_#2.jpg _P4,1770,88,3192,87,1767,2253,3189.137,2250.699,
0205_#2.jpg _P4,1769,87,3192,87,1767,2252,3187,2250,
0206_#2.jpg _P4,1770,88,3192,87,1767,2252,3187,2252,
0207_#2.jpg _P4,1771,87,3191,87,1766,2252,3186,2252,
0208_#2.jpg _P4,1769,87,3190,87,1766,2252,3186,2252,
0209_#2.jpg _P4,1770,86,3190,86,1766,2251,3186,2251,
0210_#2.jpg _P4,1769,88,3190,87,1766,2252,3184,2251,
0211_#2.jpg _P4,1769,87,3189,87,1766,2252,3185,2251,
0212_#2.jpg _P4,1770,87,3190,86,1767,2251,3185,2251,
0213_#2.jpg _P4,1769,87,3189,87,1766,2251,3185,2252,
0214_#2.jpg _P4,1769,88,3188,87,1766,2252,3185,2252,
0215_#2.jpg _P4,1770,87,3190,87,1766,2251,3184,2251,
0216_#2.jpg _P4,1767,87,3187,87,1765,2253,3182,2252,
0217_#2.jpg _P4,1769,87,3189,87,1766,2252,3184,2251,
0218_#2.jpg _P4,1770,86,3190,87,1766,2251,3184,2252,
0219_#2.jpg _P4,1768,86,3190,85,1766,2250,3184,2249,
0220_#2.jpg _P4,1768,86,3190,84,1766,2250,3184,2249,
0221_#2.jpg _P4,1767,85,3189,84,1766,2249,3184,2249,
0222_#2.jpg _P4,1769,86,3190,86,1767,2250,3184,2250,
0223_#2.jpg _P4,1767,73,3189,71,1768,2238,3185,2235,
0224_#2.jpg _P4,1767,86,3189,85,1766,2251,3183,2249,
0225_#2.jpg _P4,1770,87,3191,88,1766,2252,3183,2252,
0226_#2.jpg _P4,1768,86,3189,85,1766,2251,3183,2250,
0227_#2.jpg _P4,1773,81,3195,83,1766,2245,3185,2248,
0228_#2.jpg _P4,1767,86,3189,84,1766,2251,3184,2249,
0229_#2.jpg _P4,1770,87,3191,87,1767,2251,3184,2251,
0230_#2.jpg _P4,1771,88,3192,89,1766,2252,3184,2254,
0231_#2.jpg _P4,1773,82,3194,84,1767,2247,3185,2248,
0232_#2.jpg _P4,1768,86,3189,84,1767,2250,3185,2249,
0233_#2.jpg _P4,1768,86,3189,85,1766,2251,3184,2250,
0234_#2.jpg _P4,1772,87,3193,89,1767,2252,3184,2254,
0235_#2.jpg _P4,1767,75,3187,72,1767,2239,3184,2238,
0236_#2.jpg _P4,1773,83,3193,86,1767,2249,3184,2251,
0237_#2.jpg _P4,1768,76,3188,75,1768,2242,3184,2240,
0238_#2.jpg _P4,1769,86,3189,86,1766,2252,3183,2251,
0239_#2.jpg _P4,1771,84,3192,87,1765,2250,3183,2253,
0240_#2.jpg _P4,1781,87,3211,87,1777,2251,3207,2251,
0241_#2.jpg _P4,1781,83,3211,81,1780,2246,3209,2246,
0242_#2.jpg _P4,1781,85,3210,83,1779,2248,3209,2247,
0243_#2.jpg _P4,1781,84,3211,83,1780,2248,3210,2248,
0244_#2.jpg _P4,1782,86,3212,86,1779,2250,3209,2250,
0245_#2.jpg _P4,1782,84,3212,83,1780,2247,3209,2247,
0246_#2.jpg _P4,1782,86,3212,87,1779,2249,3207,2251,
0247_#2.jpg _P4,1781,86,3210,85,1779,2250,3207,2251,
0248_#2.jpg _P4,1781,84,3210,83,1778,2247,3207,2248,
0249_#2.jpg _P4,1780,86,3209,85,1778,2249,3208,2249,
0250_#2.jpg _P4,1783,87,3211,86,1779,2250,3208,2251,
0251_#2.jpg _P4,1782,88,3209,89,1777,2252,3207,2254,
0252_#2.jpg _P4,1784,87,3213,87,1780,2250,3209,2252,
0253_#2.jpg _P4,1781,87,3212,86,1778,2250,3207,2251,
0254_#2.jpg _P4,1782,85,3210,84,1779,2248,3207,2249,
0255_#2.jpg _P4,1781,86,3209,87,1777,2251,3206,2252,
0256_#2.jpg _P4,1781,85,3210,83,1778,2247,3209,2248,
0257_#2.jpg _P4,1782,85,3210,85,1779,2250,3209,2250,
0258_#2.jpg _P4,1783,85,3213,86,1779,2248,3207,2250,
0259_#2.jpg _P4,1782,85,3212,85,1780,2250,3208,2251,
0260_#2.jpg _P4,1781,84,3209,85,1779,2250,3208,2250,
0261_#2.jpg _P4,1780,86,3210,85,1777,2250,3206,2251,
0262_#2.jpg _P4,1782,86,3211,87,1778,2251,3207,2252,
0263_#2.jpg _P4,1784,86,3212,86,1780,2251,3209,2251,
